Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,1.144972923823149e-11,4.3508971105279665e-11,3.2303947969186455e-11,0.0
2,1.6029620933524085e-11,3.282255714959694e-11,3.981649400853214e-11,3.1928320667219165e-11
3,4.007405233381021e-11,2.518940432410928e-11,1.6151973984593227e-11,5.972474101279821e-11
4,2.0609512628816682e-11,4.656223223547473e-11,9.015055247214825e-12,1.91569924003315e-11
5,4.885217808312102e-11,1.6029620933524085e-11,5.296344957738709e-11,3.455771178099016e-11
6,2.0227854987542298e-11,6.144688024517566e-11,9.015055247214825e-12,3.9440866706564855e-11
7,6.221019552772443e-11,0.0,3.718710289476115e-11,3.2303947969186455e-11
8,2.671603488920681e-11,3.205924186704817e-11,4.6953412745910546e-11,2.8547674949513613e-11
9,2.1754485552639833e-11,6.52634566579195e-11,4.6577785443943256e-11,5.446595878525623e-11
10,2.6716034889206807e-12,2.3281116117737364e-11,1.4649464776724088e-11,2.2537638118037058e-11
11,7.594987061360223e-11,3.549416063851762e-11,1.2020073662953099e-11,7.512546039345687e-13
12,0.0,4.1219025257633364e-11,3.8313984800663e-11,5.596846799312536e-11
13,5.0760466289492934e-11,1.412133272715217e-11,5.258782227541981e-11,2.1035128910167922e-11
14,7.63315282548766e-13,4.1219025257633364e-11,2.2537638118037058e-11,3.267957527115374e-11
15,5.457704270223677e-11,1.755625149862162e-11,4.0567748612466705e-11,3.155269336525189e-11
16,8.77812574931081e-12,5.6103673267334304e-11,0.0,4.770466734984511e-11
17,5.686698854988306e-11,4.4272286387828426e-11,5.972474101279821e-11,4.244588512230313e-11
18,4.5417259311651577e-11,1.6029620933524085e-11,4.6577785443943256e-11,2.441577462787348e-11
19,2.7861007813029957e-11,3.778410648616392e-11,2.9298929553448176e-11,3.793835749869572e-11
20,3.81657641274383e-11,3.244089950832256e-11,3.868961210263028e-11,2.8172047647546323e-11
21,3.396753007342009e-11,7.63315282548766e-12,8.263800643280255e-12,4.5075276236074117e-11
22,2.2517800835188597e-11,5.953859203880375e-11,3.005018415738275e-11,2.516702923180805e-11
23,4.885217808312102e-11,7.63315282548766e-12,2.666953843967719e-11,9.015055247214825e-12
24,4.007405233381021e-11,4.503560167037719e-11,4.620215814197597e-11,4.883154925574696e-11
25,0.0,2.442608904156051e-11,2.5542656533775334e-11,1.6151973984593227e-11
26,5.763030383243183e-11,2.2517800835188597e-11,2.8547674949513613e-11,5.4090331483288947e-11
27,0.0,6.29735108102732e-11,2.441577462787348e-11,3.042581145935003e-11
28,2.3662773759011747e-11,3.5875818279792e-11,1.0517564455083961e-11,3.455771178099016e-11
29,8.205639287399235e-11,2.0227854987542298e-11,7.813047880919514e-11,1.7654483192462363e-11
30,1.6792936216072852e-11,1.56479632922497e-11,8.263800643280255e-12,3.3430829875088304e-11
31,3.778410648616392e-11,5.763030383243183e-11,7.061793276984945e-11,4.995843116164881e-11
32,4.999715100694417e-11,3.969239469253583e-11,3.643584829082658e-11,3.418208447902288e-11
33,3.5875818279792e-11,2.1372827911365446e-11,1.6151973984593227e-11,1.1268819059018531e-12
34,3.12959265844994e-11,5.4195385060962386e-11,4.2070257820335844e-11,3.718710289476115e-11
35,3.434918771469447e-12,3.6257475921066383e-11,4.0567748612466705e-11,6.986667816591489e-11
36,6.94616907119377e-11,2.2136143193914213e-11,1.0517564455083961e-11,2.591828383574262e-11
37,2.3281116117737364e-11,2.7861007813029957e-11,6.911542356198032e-11,1.4273837474756806e-11
38,2.5952719606658042e-11,2.7097692530481193e-11,2.6293911137709904e-11,1.91569924003315e-11
39,3.7402448844889534e-11,1.526630565097532e-11,1.0517564455083961e-11,2.2162010816069775e-11
40,2.2136143193914213e-11,5.686698854988306e-11,7.512546039345687e-12,6.047599561673277e-11
41,6.717174486429141e-11,1.56479632922497e-11,5.5217213389190796e-11,1.1268819059018531e-12
42,1.8701224422444767e-11,7.213329420085839e-11,6.348101403247105e-11,6.385664133443833e-11
43,5.1142123930767324e-11,1.7174593857347233e-11,2.7420793043611753e-11,3.11770660632846e-11
44,6.488179901664511e-12,4.579891695292596e-12,1.5025092078691374e-12,3.0801438761317315e-11
45,2.6334377247932426e-11,4.465394402910281e-11,7.061793276984945e-11,1.4273837474756806e-11
46,6.182853788645004e-11,3.6257475921066383e-11,3.756273019672844e-12,5.070968576558339e-11
47,4.083736761635898e-11,4.9233835724395406e-11,7.024230546788216e-11,2.9674556855415466e-11
48,0.0,2.2517800835188597e-11,1.91569924003315e-11,5.4841586087223507e-11
49,4.656223223547473e-11,2.2136143193914213e-11,3.793835749869572e-11,0.0
50,3.702079120361515e-11,4.999715100694417e-11,2.6293911137709903e-12,5.4090331483288947e-11
51,2.7479350171755577e-11,2.6716034889206807e-12,3.8313984800663e-11,3.380645717705559e-11
52,2.4807746682834895e-11,5.992024968007814e-11,2.0283874306233353e-11,2.8172047647546323e-11
53,5.763030383243183e-11,4.5417259311651577e-11,7.43742057895223e-11,4.5075276236074125e-12
54,3.053261130195064e-12,2.7479350171755577e-11,9.390682549182108e-12,6.085162291870006e-11
55,3.9310737051261446e-11,1.2213044520780256e-11,1.5025092078691374e-11,3.7562730196728434e-13
56,2.0991170270091065e-11,5.801196147370622e-11,4.8080294651812395e-11,6.873979626001303e-11
57,4.274565582273089e-11,1.7937909139896e-11,4.883154925574696e-11,2.9298929553448176e-11
58,2.7097692530481193e-11,3.969239469253583e-11,2.2537638118037058e-11,4.9582803859681535e-11
59,2.289945847646298e-11,6.106522260390128e-12,9.390682549182108e-12,4.5075276236074117e-11
60,3.6257475921066383e-11,5.1905439213316085e-11,5.258782227541981e-11,0.0
61,3.12959265844994e-11,2.0991170270091065e-11,2.2162010816069775e-11,5.6344095295092646e-12
62,3.549416063851762e-11,6.106522260390128e-11,4.432402163213955e-11,6.611040514624204e-11
63,5.953859203880375e-11,2.6334377247932426e-11,2.8547674949513613e-11,2.591828383574262e-11
64,7.63315282548766e-12,5.992024968007814e-11,2.1035128910167922e-11,6.047599561673277e-11
65,4.198234054018213e-11,1.1831386879505874e-11,7.43742057895223e-11,2.366452002393891e-11
66,0.0,3.702079120361515e-11,0.0,4.6953412745910546e-11
67,5.343206977841362e-11,4.7325547518023495e-11,1.727885589049508e-11,1.9532619702298786e-11
68,5.877527675625498e-11,1.4884648009700938e-11,1.2395700964920384e-11,4.019212131049942e-11
69,4.274565582273089e-11,4.579891695292596e-12,5.296344957738709e-11,2.516702923180805e-11
70,0.0,6.182853788645004e-11,4.3572767028204984e-11,3.681147559279386e-11
71,3.4349187714694465e-11,3.5875818279792e-11,2.8547674949513613e-11,7.136918737378403e-12
72,1.3358017444603405e-11,4.160068289890775e-11,4.920717655771425e-11,5.4090331483288947e-11
73,6.25918531689988e-11,1.4884648009700938e-11,4.620215814197597e-11,1.840573779639693e-11
74,3.5875818279792e-11,2.5571061965383662e-11,3.380645717705559e-12,1.2020073662953099e-11
75,2.3662773759011747e-11,3.9310737051261446e-11,4.244588512230313e-11,8.075986992296613e-11
76,3.5875818279792e-11,1.8701224422444767e-11,1.4649464776724088e-11,2.441577462787348e-11
77,5.992024968007814e-11,6.106522260390128e-11,5.146094036951795e-11,1.5400719380658658e-11
78,0.0,2.1754485552639833e-11,3.155269336525189e-11,4.3572767028204984e-11
79,1.3739675085877788e-11,7.63315282548766e-13,2.591828383574262e-11,2.8172047647546323e-11
80,7.289660948340716e-11,4.083736761635898e-11,3.981649400853214e-11,3.3430829875088304e-11
81,6.106522260390128e-12,2.0227854987542298e-11,5.596846799312536e-11,6.3856641334438335e-12
