Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,7.190348974141157e-11,1.1413252339906598e-11,5.588202426246677e-11,2.3470450190236043e-11
2,3.880505795568243e-11,6.962083927343025e-11,3.576449552797873e-11,2.7941012131233385e-11
3,2.3967829913803858e-11,9.130601871925279e-12,4.470561940997342e-12,2.905865261648272e-11
4,3.766373272169177e-11,3.880505795568243e-11,6.594078862971079e-11,2.0117528734488035e-11
5,4.451168412563573e-11,3.4239757019719793e-12,2.682337164598405e-11,6.370550765921212e-11
6,6.847951403943959e-11,7.761011591136486e-11,2.1235169219737375e-11,4.1352697954225406e-11
7,4.2229033657654415e-11,1.1413252339906598e-12,7.152899105595747e-11,8.941123881994683e-12
8,3.309843178572913e-11,4.3370358891645073e-11,2.905865261648272e-11,3.79997764984774e-11
9,2.1685179445822537e-11,3.99463831896731e-11,4.023505746897607e-11,1.2294045337742688e-11
10,1.1413252339906598e-11,2.7391805615775834e-11,1.3411685822992026e-11,3.688213601322807e-11
11,3.6522407487701114e-11,7.989276637934618e-12,5.923494571821477e-11,5.141146232146942e-11
12,3.5381082253710455e-11,5.021831029558903e-11,1.676460727874003e-11,4.6940900380472086e-11
13,4.679433459361705e-11,1.2554577573897258e-11,3.46468550427294e-11,2.4588090675485377e-11
14,0.0,2.3967829913803858e-11,0.0,5.588202426246677e-12
15,6.049023740150497e-11,4.565300935962639e-11,6.705842911496012e-11,2.7941012131233385e-11
16,2.1685179445822537e-11,2.2826504679813196e-11,2.0117528734488035e-11,6.705842911496012e-11
17,3.4239757019719797e-11,6.619686357145826e-11,3.79997764984774e-11,2.4588090675485377e-11
18,5.706626169953299e-12,0.0,1.7882247763989367e-11,3.79997764984774e-11
19,6.505553833746762e-11,2.5109155147794516e-11,3.688213601322807e-11,2.1235169219737375e-11
20,3.880505795568243e-11,8.445806731530883e-11,4.1352697954225406e-11,6.594078862971079e-11
21,1.4837228041878577e-11,3.99463831896731e-11,2.4588090675485377e-11,1.89998882492387e-11
22,4.7935659827607715e-11,0.0,3.0176293101732053e-11,5.2529102806718766e-11
23,4.7935659827607715e-11,2.7391805615775834e-11,6.92937100854588e-11,1.452932630824136e-11
24,1.7119878509859898e-11,1.0043662059117807e-10,1.2294045337742688e-11,8.158775542320148e-11
25,4.7935659827607715e-11,0.0,2.570573116073471e-11,0.0
26,2.1685179445822537e-11,3.309843178572913e-11,4.023505746897607e-11,2.7941012131233385e-11
27,6.8479514039439585e-12,1.2554577573897258e-11,2.7941012131233385e-11,1.0058764367244017e-11
28,4.451168412563573e-11,4.9076985061598374e-11,2.235280970498671e-11,6.817606960020945e-11
29,4.1087708423663756e-11,5.021831029558903e-11,5.588202426246677e-11,0.0
30,4.3370358891645073e-11,2.0543854211831878e-11,1.5646966793490695e-11,5.4764383777217434e-11
31,5.820758693352365e-11,4.679433459361705e-11,6.594078862971079e-11,2.3470450190236043e-11
32,6.8479514039439585e-12,4.565300935962639e-11,2.905865261648272e-11,6.147022668871346e-11
33,4.1087708423663756e-11,2.5109155147794516e-11,4.470561940997342e-11,1.452932630824136e-11
34,3.309843178572913e-11,4.451168412563573e-11,2.682337164598405e-11,6.258786717396278e-11
35,7.64687906773742e-11,3.6522407487701114e-11,3.576449552797873e-11,0.0
36,0.0,4.1087708423663756e-11,3.3529214557480064e-12,2.0117528734488035e-11
37,5.478361123155167e-11,0.0,7.26466315412068e-11,6.147022668871346e-11
38,4.565300935962639e-12,5.706626169953299e-11,3.46468550427294e-11,1.89998882492387e-11
39,3.5381082253710455e-11,1.5978553275869236e-11,2.0117528734488035e-11,4.805854086572142e-11
40,3.99463831896731e-11,7.64687906773742e-11,4.358797892472408e-11,1.1176404852493354e-12
41,1.8261203743850557e-11,0.0,5.4764383777217434e-11,6.370550765921212e-11
42,7.304481497540223e-11,2.9674456083757155e-11,0.0,3.241157407223073e-11
43,2.0543854211831878e-11,2.7391805615775834e-11,4.470561940997342e-11,1.676460727874003e-11
44,9.130601871925279e-12,5.706626169953299e-11,5.699966474771611e-11,5.029382183622009e-11
45,5.5924936465542333e-11,1.5978553275869236e-11,1.676460727874003e-11,2.235280970498671e-11
46,1.7119878509859898e-11,2.1685179445822537e-11,5.699966474771611e-11,3.688213601322807e-11
47,3.5381082253710455e-11,1.4837228041878577e-11,3.0176293101732053e-11,2.235280970498671e-11
48,3.880505795568243e-11,2.8533130849766496e-11,5.588202426246677e-12,3.911741698372674e-11
49,5.478361123155167e-11,4.7935659827607715e-11,5.699966474771611e-11,1.1176404852493354e-11
50,2.1685179445822537e-11,2.0543854211831878e-11,0.0,8.382303639370015e-11
51,1.2554577573897258e-11,5.706626169953299e-11,6.705842911496012e-11,4.470561940997342e-11
52,3.0815781317747814e-11,4.9076985061598374e-11,1.5646966793490695e-11,4.470561940997342e-11
53,6.391421310347694e-11,5.021831029558903e-11,4.247033843947475e-11,0.0
54,1.9402528977841216e-11,1.3695902807887917e-11,1.1176404852493354e-12,6.482314814446146e-11
55,8.331674208131817e-11,4.565300935962639e-12,4.023505746897607e-11,0.0
56,2.6250480381785175e-11,8.445806731530883e-11,5.811730523296544e-11,6.035258620346411e-11
57,1.8261203743850557e-11,4.679433459361705e-11,1.3411685822992026e-11,1.5646966793490695e-11
58,2.2826504679813196e-12,3.99463831896731e-11,2.235280970498671e-11,4.1352697954225406e-11
59,6.277288786948629e-11,0.0,4.023505746897607e-11,2.7941012131233385e-11
60,0.0,3.6522407487701114e-11,4.358797892472408e-11,4.5823259895222755e-11
61,7.190348974141157e-11,3.99463831896731e-11,5.141146232146942e-11,2.235280970498671e-12
62,0.0,0.0,2.1235169219737375e-11,6.482314814446146e-11
63,3.6522407487701114e-11,6.163156263549563e-11,4.9176181350970754e-11,3.241157407223073e-11
64,2.6250480381785175e-11,3.195710655173847e-11,1.5646966793490695e-11,5.588202426246677e-12
65,5.478361123155167e-11,3.6522407487701114e-11,2.235280970498671e-11,4.358797892472408e-11
66,2.2826504679813196e-11,5.3642285997561016e-11,2.3470450190236043e-11,6.705842911496012e-11
67,3.766373272169177e-11,1.1413252339906598e-12,6.482314814446146e-11,8.941123881994683e-12
68,0.0,4.9076985061598374e-11,2.3470450190236043e-11,7.26466315412068e-11
69,9.244734395324344e-11,3.195710655173847e-11,4.247033843947475e-11,1.5646966793490695e-11
70,0.0,3.99463831896731e-11,2.570573116073471e-11,3.688213601322807e-11
71,4.565300935962639e-11,3.195710655173847e-11,9.276416027569483e-11,5.588202426246677e-12
72,2.0543854211831878e-11,3.99463831896731e-11,0.0,5.141146232146942e-11
73,5.934891216751431e-11,3.0815781317747814e-11,3.576449552797873e-11,1.7882247763989367e-11
74,6.8479514039439585e-12,2.2826504679813196e-11,2.7941012131233385e-11,4.9176181350970754e-11
75,5.3642285997561016e-11,3.309843178572913e-11,5.141146232146942e-11,3.129393358698139e-11
76,3.309843178572913e-11,1.8261203743850557e-11,1.7882247763989367e-11,2.235280970498671e-11
77,4.679433459361705e-11,2.6250480381785175e-11,5.36467432919681e-11,0.0
78,2.2826504679813196e-11,5.820758693352365e-11,1.0058764367244017e-11,7.152899105595747e-11
79,3.195710655173847e-11,1.1413252339906598e-12,3.911741698372674e-11,1.676460727874003e-11
80,4.565300935962639e-12,2.7391805615775834e-11,2.0117528734488035e-11,3.352921455748006e-11
81,5.021831029558903e-11,4.7935659827607715e-11,2.1235169219737375e-11,2.235280970498671e-11
82,3.4239757019719793e-12,5.706626169953299e-12,5.36467432919681e-11,6.92937100854588e-11
83,8.78820430172808e-11,5.934891216751431e-11,2.4588090675485377e-11,1.3411685822992026e-11
84,3.99463831896731e-11,3.195710655173847e-11,3.688213601322807e-11,6.92937100854588e-11
85,1.2554577573897258e-11,2.5109155147794516e-11,2.1235169219737375e-11,3.911741698372674e-11
86,0.0,4.679433459361705e-11,2.1235169219737375e-11,2.7941012131233385e-11
87,7.076216450742091e-11,4.565300935962639e-11,5.2529102806718766e-11,2.4588090675485377e-11
88,1.8261203743850557e-11,5.706626169953299e-12,5.141146232146942e-11,3.576449552797873e-11
89,9.130601871925278e-11,2.9674456083757155e-11,2.0117528734488035e-11,1.2294045337742688e-11
90,0.0,6.847951403943959e-11,3.129393358698139e-11,5.4764383777217434e-11
91,2.2826504679813196e-11,3.880505795568243e-11,2.682337164598405e-11,3.46468550427294e-11
92,3.766373272169177e-11,3.5381082253710455e-11,4.805854086572142e-11,4.023505746897607e-11
93,3.6522407487701114e-11,2.3967829913803858e-11,1.0058764367244017e-11,0.0
94,3.0815781317747814e-11,1.5978553275869236e-11,2.682337164598405e-11,6.594078862971079e-11
95,7.41861402093929e-11,6.391421310347694e-11,5.923494571821477e-11,3.46468550427294e-11
96,0.0,4.3370358891645073e-11,4.247033843947475e-11,3.0176293101732053e-11
97,2.7391805615775834e-11,5.478361123155167e-11,2.570573116073471e-11,0.0
98,4.2229033657654415e-11,1.1413252339906598e-11,2.235280970498671e-11,4.358797892472408e-11
99,1.3695902807887917e-11,3.5381082253710455e-11,5.811730523296544e-11,3.129393358698139e-11
100,1.7119878509859898e-11,3.195710655173847e-11,2.0117528734488035e-11,7.711719348220414e-11
101,5.021831029558903e-11,4.1087708423663756e-11,5.923494571821477e-11,1.1176404852493354e-11
102,3.766373272169177e-11,4.565300935962639e-11,2.3470450190236043e-11,4.1352697954225406e-11
103,5.250096076357035e-11,1.9402528977841216e-11,4.247033843947475e-11,1.5646966793490695e-11
104,1.1413252339906598e-12,5.021831029558903e-11,4.805854086572142e-11,4.5823259895222755e-11
105,6.277288786948629e-11,4.451168412563573e-11,1.7882247763989367e-11,3.911741698372674e-11
106,1.9402528977841216e-11,6.8479514039439585e-12,2.682337164598405e-11,1.89998882492387e-11
107,2.9674456083757155e-11,4.2229033657654415e-11,8.270539590845081e-11,3.129393358698139e-11
108,5.934891216751431e-11,4.451168412563573e-11,0.0,3.79997764984774e-11
109,2.9674456083757155e-11,0.0,4.6940900380472086e-11,4.1352697954225406e-11
110,1.5978553275869236e-11,4.3370358891645073e-11,2.0117528734488035e-11,2.570573116073471e-11
111,6.619686357145826e-11,1.8261203743850557e-11,4.805854086572142e-11,3.352921455748006e-11
112,1.3695902807887917e-11,5.3642285997561016e-11,2.570573116073471e-11,5.811730523296544e-11
113,3.6522407487701114e-11,1.0271927105915939e-11,3.129393358698139e-11,2.3470450190236043e-11
114,1.4837228041878577e-11,2.7391805615775834e-11,2.3470450190236043e-11,1.5646966793490695e-11
115,4.1087708423663756e-11,7.989276637934618e-12,5.36467432919681e-11,3.129393358698139e-11
116,1.9402528977841216e-11,6.277288786948629e-11,0.0,4.6940900380472086e-11
117,5.135963552957969e-11,1.1413252339906598e-11,7.935247445270281e-11,4.1352697954225406e-11
118,4.9076985061598374e-11,8.217541684732751e-11,0.0,5.2529102806718766e-11
119,3.309843178572913e-11,1.5978553275869236e-11,5.36467432919681e-11,3.241157407223073e-11
120,2.7391805615775834e-11,3.0815781317747814e-11,1.3411685822992026e-11,2.3470450190236043e-11
