Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,7.811042788835279e-11,1.8053825313817393e-11,5.4755868785492906e-11,2.488903126613314e-11
2,3.021252399455155e-11,3.6107650627634785e-11,2.9483929346034644e-11,2.6037755786108514e-11
3,1.7316934484681987e-11,1.3264034924437265e-11,3.829081733251252e-12,2.6037755786108514e-11
4,2.800185150714534e-11,3.758143228590559e-11,5.7436225998768784e-11,2.833520482605927e-11
5,3.758143228590559e-11,2.947563316541615e-12,1.7230867799630636e-11,6.547729763859642e-11
6,6.668862003675403e-11,9.763803486044098e-11,1.6465051452980387e-11,3.982245002581303e-11
7,4.163433184615031e-11,1.4737816582708074e-12,5.973367503871954e-11,1.1870153373078882e-11
8,2.0264497801223602e-11,4.495034057725963e-11,3.02497456926849e-11,3.867372550583765e-11
9,2.5791179019739128e-11,5.1582358039478257e-11,4.4034439932389403e-11,2.4506123092808016e-11
10,9.211135364192546e-12,2.3948951946900622e-11,1.1870153373078882e-11,3.867372550583765e-11
11,3.6844541456770184e-11,1.2895589509869564e-11,6.700893033189691e-11,5.781913417209391e-11
12,3.94236593587441e-11,6.374105672021241e-11,1.8762500492931138e-11,4.594898079901503e-11
13,7.074151959699875e-11,2.3212061117765216e-11,3.79079091591874e-11,2.412321491948289e-11
14,2.210672487406211e-12,2.7633406092577638e-11,0.0,3.063265386601002e-12
15,5.1582358039478257e-11,4.2371222675285714e-11,6.777474667854717e-11,2.488903126613314e-11
16,1.9159161557520497e-11,1.363248033900497e-11,1.684795962630551e-11,5.7053317825443664e-11
17,3.2423196481957766e-11,5.637214842885838e-11,4.4034439932389403e-11,2.4506123092808016e-11
18,1.4737816582708076e-11,0.0,1.9911225012906514e-11,2.7569388479409016e-11
19,4.642412223553043e-11,2.5422733605171426e-11,3.9056633679162775e-11,1.9528316839581387e-11
20,4.0528995602447204e-11,8.142643661946211e-11,5.552168513214316e-11,5.628750147879341e-11
21,9.94802619332795e-12,3.205475106739006e-11,2.029413318623164e-11,2.1442857706207012e-11
22,3.352853272566087e-11,0.0,3.0632653866010017e-11,4.901224618561603e-11
23,3.205475106739006e-11,2.800185150714534e-11,4.977806253226628e-11,1.4550510586354759e-11
24,2.984407857998385e-11,7.921576413205589e-11,1.3401786066379384e-11,6.432857311862104e-11
25,5.93197117454e-11,0.0,2.7569388479409016e-11,0.0
26,2.1001388630359004e-11,3.5370759798499374e-11,3.7525000985862276e-11,3.216428655931052e-11
27,9.211135364192546e-12,1.7316934484681987e-11,2.642066395943364e-11,1.7996684146280886e-11
28,4.273966808985341e-11,6.226727506194162e-11,2.8718112999384392e-11,6.317984859864566e-11
29,3.389697814022857e-11,3.721298687133789e-11,7.007219571849792e-11,0.0
30,5.342458511231677e-11,1.8790716142952795e-11,1.0338520679778382e-11,7.696454283835017e-11
31,7.442597374267578e-11,6.300416589107702e-11,6.279694042532054e-11,2.2591582226182388e-11
32,1.4369371168140371e-11,3.5370759798499374e-11,2.9101021172709518e-11,6.011658321204467e-11
33,5.452992135601988e-11,2.3212061117765216e-11,4.1354082719113526e-11,1.7230867799630636e-11
