Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,1.2091134661185094e-11,4.2318971314147825e-11,3.0316943920952706e-11,0.0
2,6.045567330592547e-12,5.037972775493789e-11,3.8401462299873434e-11,4.2443721489333794e-11
3,3.627340398355528e-11,3.0227836652962733e-11,2.0211295947301805e-11,6.871840622082615e-11
4,2.4182269322370187e-11,3.224302576316025e-11,1.0105647973650903e-11,1.6169036757841442e-11
5,6.247086241612299e-11,1.6121512881580125e-11,5.861275824717524e-11,2.2232425542031986e-11
6,1.6121512881580125e-11,6.44860515263205e-11,1.4147907163111263e-11,3.638033270514325e-11
7,7.859237529770312e-11,0.0,2.6274684731492346e-11,2.8295814326222526e-11
8,2.8212647542765217e-11,2.2167080212172674e-11,5.457049905771487e-11,2.8295814326222526e-11
9,2.2167080212172674e-11,6.247086241612299e-11,3.638033270514325e-11,5.457049905771487e-11
10,4.030378220395031e-12,3.224302576316025e-11,1.2126777568381083e-11,2.2232425542031986e-11
11,7.859237529770312e-11,3.82885930937528e-11,8.084518378920721e-12,0.0
12,0.0,5.844048419572796e-11,4.6485980678794154e-11,6.26550174366356e-11
13,5.239491686513541e-11,1.0075945550987579e-11,5.861275824717524e-11,2.6274684731492346e-11
14,2.0151891101975156e-12,4.0303782203950316e-11,2.6274684731492346e-11,3.8401462299873434e-11
15,3.627340398355528e-11,1.813670199177764e-11,3.0316943920952706e-11,1.8190166352571625e-11
16,1.4106323771382608e-11,5.4410105975332924e-11,0.0,4.042259189460361e-11
17,3.627340398355528e-11,4.8364538644740375e-11,5.861275824717524e-11,4.446485108406397e-11
18,4.433416042434535e-11,1.4106323771382608e-11,2.6274684731492346e-11,2.8295814326222526e-11
19,3.0227836652962733e-11,2.6197458432567704e-11,3.8401462299873434e-11,3.435920311041307e-11
20,3.0227836652962733e-11,3.627340398355528e-11,5.052823986825451e-11,2.6274684731492346e-11
21,2.8212647542765217e-11,8.060756440790062e-12,1.0105647973650903e-11,5.457049905771487e-11
22,1.0075945550987579e-11,5.844048419572796e-11,5.052823986825451e-11,3.8401462299873434e-11
23,5.844048419572796e-11,6.045567330592547e-12,2.6274684731492346e-11,6.0633887841905414e-12
24,4.0303782203950316e-11,6.650124063651802e-11,3.638033270514325e-11,4.850711027352433e-11
25,0.0,2.2167080212172674e-11,1.8190166352571625e-11,1.2126777568381083e-11
26,5.037972775493789e-11,3.0227836652962733e-11,2.4253555136762166e-11,5.659162865244505e-11
27,0.0,6.650124063651802e-11,1.8190166352571625e-11,3.0316943920952706e-11
28,2.2167080212172674e-11,3.0227836652962733e-11,1.6169036757841442e-11,3.435920311041307e-11
29,7.053161885691304e-11,1.2091134661185094e-11,6.467614703136577e-11,2.0211295947301805e-11
30,1.6121512881580125e-11,2.8212647542765217e-11,6.0633887841905414e-12,2.2232425542031986e-11
31,3.4258214873357766e-11,5.037972775493789e-11,7.478179500501668e-11,3.8401462299873434e-11
32,5.6425295085530434e-11,3.627340398355528e-11,4.850711027352433e-11,2.8295814326222526e-11
33,4.2318971314147825e-11,3.0227836652962733e-11,1.8190166352571625e-11,2.0211295947301802e-12
