Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,2.0623549920718244e-11,4.353860538818296e-11,3.1663402249443186e-11,0.0
2,1.833204437397177e-11,3.20810776544506e-11,4.447954125517019e-11,2.1108934832962127e-11
3,4.201093502368531e-11,3.5136418383445894e-11,1.8847263243716184e-11,5.72956802608972e-11
4,2.215122028521589e-11,4.583011093492943e-11,1.0554467416481064e-11,1.5831701124721593e-11
5,5.957914421540826e-11,2.215122028521589e-11,5.72956802608972e-11,2.6386168541202658e-11
6,1.833204437397177e-11,6.339832012665238e-11,1.130835794622971e-11,4.5987322314667486e-11
7,7.561968304263356e-11,0.0,3.015562118994589e-11,3.6186745427935074e-11
8,2.5206561014211184e-11,2.978957210770413e-11,5.72956802608972e-11,2.3370606422208068e-11
9,2.673423137870883e-11,5.8051473850910615e-11,4.900288443366208e-11,3.090951171969454e-11
10,3.0553407289952955e-12,2.9025736925455307e-11,1.2062248475978357e-11,2.86478401304486e-11
11,7.332817749588708e-11,3.131724247220178e-11,7.538905297486473e-12,3.0155621189945893e-12
12,0.0,3.20810776544506e-11,3.6186745427935074e-11,5.578789920139991e-11
13,5.7287638668661785e-11,1.2221362915981182e-11,5.428011814190261e-11,2.261671589245942e-11
14,1.5276703644976477e-12,3.590025356569472e-11,2.3370606422208068e-11,3.1663402249443186e-11
15,3.590025356569472e-11,2.0623549920718244e-11,4.6741212844416136e-11,2.4124496951956715e-11
16,9.166022186985885e-12,6.263448494440355e-11,0.0,5.1264556022908017e-11
17,4.81216164816759e-11,4.81216164816759e-11,5.3526227612153967e-11,5.804957079064585e-11
18,5.346846275741766e-11,7.638351822488239e-12,3.3925073838689136e-11,1.733948218421889e-11
19,2.5970396196460007e-11,2.367889064971354e-11,3.3925073838689136e-11,4.824899390391343e-11
20,3.5136418383445894e-11,2.1387385102967067e-11,4.2217869665924255e-11,2.4124496951956715e-11
21,2.367889064971354e-11,5.346846275741767e-12,6.031124237989179e-12,4.447954125517019e-11
22,1.833204437397177e-11,7.561968304263356e-11,3.3171183308940486e-11,2.261671589245942e-11
23,5.041312202842237e-11,9.929857369234709e-12,4.1463979136175605e-11,2.035504430321348e-11
24,5.881530903315943e-11,5.423229793966649e-11,3.844841701718101e-11,4.523343178491884e-11
