Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,7.036970478793512e-12,4.021125987882006e-11,3.2248998522935656e-11,0.0
2,1.2063377963646018e-11,4.021125987882006e-11,4.031124815366956e-11,2.6202311299885216e-11
3,3.920597838184956e-11,2.9153163412144544e-11,1.108559324225913e-11,7.054468426892174e-11
4,1.4073940957587023e-11,3.116372640608555e-11,9.070030834575653e-12,1.7132280465309568e-11
5,4.6242948860643076e-11,1.4073940957587023e-11,5.4420185007453913e-11,2.9225654911410434e-11
6,1.809506694546903e-11,5.4285200836407084e-11,1.108559324225913e-11,4.031124815366956e-11
7,8.444364574552213e-11,0.0,3.1241217319093915e-11,2.8217873707568694e-11
8,2.7142600418203542e-11,3.619013389093806e-11,5.4420185007453913e-11,2.7210092503726957e-11
9,2.513203742426254e-11,7.539611227278762e-11,3.0233436115252175e-11,5.038906019208696e-11
10,1.0052814969705015e-12,3.820069688487906e-11,1.209337444610087e-11,2.6202311299885216e-11
11,9.952286820007965e-11,3.317428940002655e-11,6.046687223050435e-12,0.0
12,0.0,4.423238586670207e-11,3.930346694982783e-11,5.139684139592869e-11
13,4.925879335155458e-11,7.036970478793512e-12,7.054468426892174e-11,2.7210092503726957e-11
14,1.0052814969705015e-12,4.021125987882006e-11,2.6202311299885216e-11,2.8217873707568694e-11
15,4.021125987882006e-11,1.3068659460616519e-11,2.7210092503726957e-11,3.2248998522935656e-11
16,4.021125987882006e-12,5.5290482333377585e-11,0.0,4.13190293575113e-11
17,4.925879335155458e-11,4.021125987882006e-11,6.046687223050435e-11,5.038906019208696e-11
18,4.925879335155458e-11,8.042251975764012e-12,3.930346694982783e-11,1.4108936853784347e-11
19,3.317428940002655e-11,2.513203742426254e-11,3.0233436115252175e-11,2.519453009604348e-11
20,3.518485239396756e-11,3.518485239396756e-11,3.1241217319093915e-11,2.015562407683478e-11
21,2.513203742426254e-11,4.021125987882006e-12,9.070030834575653e-12,4.7365716580561737e-11
22,1.0052814969705016e-11,6.83591417939941e-11,3.0233436115252175e-11,3.0233436115252175e-11
23,5.026407484852508e-11,2.010562993941003e-12,4.434237296903652e-11,1.3101155649942608e-11
24,4.925879335155458e-11,4.825351185458407e-11,3.930346694982783e-11,6.046687223050435e-11
25,0.0,1.7089785448498525e-11,2.6202311299885216e-11,2.217118648451826e-11
26,5.730104532731859e-11,2.010562993941003e-11,3.4264560930619137e-11,4.938127898824522e-11
27,0.0,6.735386029702361e-11,2.3178967688359998e-11,2.7210092503726957e-11
28,2.4126755927292036e-11,2.1110911436380532e-11,1.7132280465309568e-11,4.13190293575113e-11
29,9.851758670310916e-11,3.116372640608555e-11,6.752134065739652e-11,3.1241217319093915e-11
30,1.809506694546903e-11,2.513203742426254e-11,5.038906019208695e-12,3.2248998522935656e-11
31,3.417957089699705e-11,6.132217131520059e-11,7.356802788044696e-11,4.7365716580561737e-11
32,5.629576383034809e-11,2.4126755927292036e-11,3.728790454214435e-11,3.829568574598609e-11
33,3.417957089699705e-11,2.513203742426254e-11,2.217118648451826e-11,1.0077812038417392e-12
34,3.0158444909115045e-11,4.724823035761357e-11,4.13190293575113e-11,2.6202311299885216e-11
35,4.021125987882006e-12,4.523766736367257e-11,4.333459176519478e-11,6.449799704587131e-11
36,6.23274528121711e-11,3.0158444909115045e-11,9.070030834575653e-12,3.4264560930619137e-11
37,2.1110911436380532e-11,2.4126755927292036e-11,6.752134065739652e-11,1.209337444610087e-11
38,2.4126755927292036e-11,2.7142600418203542e-11,2.6202311299885216e-11,1.9147842872993046e-11
39,4.1216541375790564e-11,2.010562993941003e-11,8.062249630733914e-12,2.116340528067652e-11
40,2.2116192933351033e-11,6.43380158061121e-11,8.062249630733914e-12,3.930346694982783e-11
41,7.13749862849056e-11,2.2116192933351033e-11,4.837349778440348e-11,1.0077812038417392e-12
42,2.4126755927292036e-11,6.132217131520059e-11,5.945909102666261e-11,7.961471510349739e-11
43,5.730104532731859e-11,1.4073940957587023e-11,2.418674889220174e-11,3.4264560930619137e-11
44,3.0158444909115045e-12,6.031688981823009e-12,0.0,3.829568574598609e-11
45,2.1110911436380532e-11,4.1216541375790564e-11,6.550577824971304e-11,5.038906019208695e-12
46,6.23274528121711e-11,2.513203742426254e-11,6.046687223050435e-12,3.829568574598609e-11
47,4.021125987882006e-11,5.5290482333377585e-11,7.860693389965566e-11,3.0233436115252175e-11
48,0.0,3.0158444909115045e-11,2.418674889220174e-11,5.945909102666261e-11
49,3.920597838184956e-11,1.910034844243953e-11,4.13190293575113e-11,0.0
50,3.116372640608555e-11,3.518485239396756e-11,3.0233436115252173e-12,4.7365716580561737e-11
51,3.0158444909115045e-11,2.010562993941003e-12,2.217118648451826e-11,2.8217873707568694e-11
52,2.3121474430321538e-11,5.629576383034809e-11,1.7132280465309568e-11,3.4264560930619137e-11
53,6.33327343091416e-11,3.417957089699705e-11,8.26380587150226e-11,6.046687223050435e-12
54,2.010562993941003e-12,3.619013389093806e-11,6.046687223050435e-12,6.147465343434609e-11
55,4.3227104369731566e-11,1.2063377963646018e-11,1.7132280465309568e-11,0.0
56,1.3068659460616519e-11,7.539611227278762e-11,5.139684139592869e-11,7.45758090842887e-11
57,4.423238586670207e-11,2.010562993941003e-11,5.341240380361217e-11,2.519453009604348e-11
58,2.010562993941003e-11,4.2221822872761065e-11,2.217118648451826e-11,4.434237296903652e-11
59,2.4126755927292036e-11,3.0158444909115045e-12,5.038906019208695e-12,3.1241217319093915e-11
60,2.6137318921233038e-11,5.2274637842466076e-11,5.4420185007453913e-11,0.0
61,4.825351185458407e-11,2.4126755927292036e-11,4.7365716580561737e-11,7.0544684268921735e-12
62,3.719541538790855e-11,5.931160832125959e-11,4.031124815366956e-11,7.256024667660522e-11
63,5.2274637842466076e-11,3.116372640608555e-11,2.6202311299885216e-11,2.9225654911410434e-11
64,2.010562993941003e-12,4.423238586670207e-11,1.9147842872993046e-11,6.752134065739652e-11
65,3.820069688487906e-11,1.3068659460616519e-11,6.147465343434609e-11,2.6202311299885216e-11
66,0.0,2.7142600418203542e-11,0.0,3.4264560930619137e-11
67,5.026407484852508e-11,4.825351185458407e-11,2.3178967688359998e-11,2.3178967688359998e-11
68,6.33327343091416e-11,1.6084503951528024e-11,1.3101155649942608e-11,4.434237296903652e-11
69,5.5290482333377585e-11,1.2063377963646018e-11,5.341240380361217e-11,2.7210092503726957e-11
70,0.0,7.539611227278762e-11,4.535015417287826e-11,4.434237296903652e-11
71,3.216900790305605e-11,3.417957089699705e-11,2.116340528067652e-11,4.031124815366957e-12
72,1.3068659460616519e-11,5.026407484852508e-11,3.728790454214435e-11,4.7365716580561737e-11
73,7.338554927884662e-11,2.7142600418203542e-11,5.038906019208696e-11,1.8140061669151305e-11
74,3.820069688487906e-11,1.4073940957587023e-11,2.0155624076834785e-12,7.0544684268921735e-12
