Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,1.809330367534374e-11,4.6238442725878445e-11,3.0278139165669817e-11,0.0
2,1.4072569525267353e-11,3.01555061255729e-11,4.238939483193774e-11,2.018542611044654e-11
3,4.422807565084025e-11,3.819697442572567e-11,2.422251133253585e-11,4.037085222089308e-11
4,2.2114037825420126e-11,4.824880980091664e-11,1.2111255666267925e-11,1.4129798277312579e-11
5,4.422807565084025e-11,8.041468300152773e-12,5.0463565276116355e-11,3.6333766998803776e-11
6,1.4072569525267353e-11,6.634211347626038e-11,1.009271305522327e-11,4.4407937442982395e-11
7,6.433174640122218e-11,0.0,3.431522438775912e-11,2.2203968721491198e-11
8,1.6082936600305546e-11,2.8145139050534706e-11,5.6519193109250314e-11,2.6241053943580504e-11
9,1.809330367534374e-11,5.629027810106941e-11,4.4407937442982395e-11,4.642648005402705e-11
10,0.0,4.221770857580206e-11,1.8166883499401888e-11,1.6148340888357235e-11
11,9.247688545175689e-11,3.618660735068748e-11,8.074170444178617e-12,2.0185426110446544e-12
12,0.0,5.2269543950993025e-11,4.642648005402705e-11,6.055627833133963e-11
13,4.0207341500763865e-11,1.6082936600305546e-11,5.853773572029497e-11,2.6241053943580504e-11
14,0.0,3.4176240275649285e-11,2.018542611044654e-11,1.8166883499401888e-11
15,5.83006451761076e-11,1.4072569525267353e-11,7.468607660865221e-11,2.8259596554625157e-11
16,4.0207341500763865e-12,5.629027810106941e-11,0.0,5.248210788716101e-11
17,3.819697442572567e-11,2.412440490045832e-11,6.257482094238428e-11,4.4407937442982395e-11
18,4.6238442725878445e-11,2.412440490045832e-11,3.0278139165669817e-11,1.4129798277312579e-11
19,2.6134771975496512e-11,3.01555061255729e-11,3.0278139165669817e-11,4.642648005402705e-11
20,4.6238442725878445e-11,4.6238442725878445e-11,3.6333766998803776e-11,2.8259596554625157e-11
21,4.824880980091664e-11,1.809330367534374e-11,1.2111255666267925e-11,4.238939483193774e-11
22,2.2114037825420126e-11,6.835248055129857e-11,3.0278139165669817e-11,2.018542611044654e-11
23,4.6238442725878445e-11,1.4072569525267353e-11,3.431522438775912e-11,1.8166883499401888e-11
24,4.0207341500763865e-11,6.03110122511458e-11,5.450065049820566e-11,5.6519193109250314e-11
25,0.0,1.206220245022916e-11,2.422251133253585e-11,2.018542611044654e-11
26,4.0207341500763865e-11,2.2114037825420126e-11,2.018542611044654e-11,5.450065049820566e-11
27,0.0,6.03110122511458e-11,1.6148340888357235e-11,4.037085222089308e-11
28,1.206220245022916e-11,2.412440490045832e-11,1.4129798277312579e-11,3.431522438775912e-11
29,1.0051835375190966e-10,1.4072569525267353e-11,8.477878966387548e-11,1.009271305522327e-11
30,1.6082936600305546e-11,1.809330367534374e-11,2.0185426110446544e-12,2.6241053943580504e-11
31,4.0207341500763865e-11,5.83006451761076e-11,5.248210788716101e-11,4.84450226650717e-11
32,5.2269543950993025e-11,4.0207341500763865e-11,4.238939483193774e-11,3.431522438775912e-11
33,3.618660735068748e-11,2.6134771975496512e-11,1.4129798277312579e-11,4.037085222089309e-12
34,2.6134771975496512e-11,3.819697442572567e-11,2.2203968721491198e-11,4.238939483193774e-11
35,1.0051835375190966e-11,4.422807565084025e-11,3.0278139165669817e-11,6.055627833133963e-11
36,8.644578422664231e-11,1.206220245022916e-11,6.055627833133963e-12,3.835230960984843e-11
37,2.2114037825420126e-11,1.809330367534374e-11,7.468607660865221e-11,2.2203968721491198e-11
38,2.0103670750381933e-11,2.0103670750381933e-11,2.2203968721491198e-11,1.4129798277312579e-11
39,3.4176240275649285e-11,1.6082936600305546e-11,1.4129798277312579e-11,1.2111255666267925e-11
40,1.4072569525267353e-11,7.438358177641315e-11,4.037085222089309e-12,6.459336355342894e-11
41,6.634211347626038e-11,6.03110122511458e-12,5.450065049820566e-11,0.0
42,2.412440490045832e-11,5.629027810106941e-11,4.84450226650717e-11,8.881587488596479e-11
43,7.036284762633676e-11,2.2114037825420126e-11,3.0278139165669817e-11,2.8259596554625157e-11
44,4.0207341500763865e-12,6.03110122511458e-12,0.0,4.238939483193774e-11
45,2.412440490045832e-11,3.216587320061109e-11,5.248210788716101e-11,1.009271305522327e-11
46,5.427991102603122e-11,2.6134771975496512e-11,6.055627833133963e-12,6.257482094238428e-11
47,4.221770857580206e-11,5.427991102603122e-11,8.276024705283082e-11,3.229668177671447e-11
48,0.0,3.216587320061109e-11,1.8166883499401888e-11,5.450065049820566e-11
49,3.4176240275649285e-11,2.6134771975496512e-11,3.6333766998803776e-11,0.0
50,4.422807565084025e-11,6.03110122511458e-11,2.0185426110446544e-12,5.0463565276116355e-11
51,3.819697442572567e-11,4.0207341500763865e-12,5.0463565276116355e-11,3.431522438775912e-11
52,4.422807565084025e-11,5.427991102603122e-11,2.2203968721491198e-11,3.0278139165669817e-11
53,6.835248055129857e-11,3.4176240275649285e-11,7.06489913865629e-11,0.0
54,8.041468300152773e-12,1.809330367534374e-11,8.074170444178617e-12,7.266753399760755e-11
55,4.824880980091664e-11,1.809330367534374e-11,1.4129798277312579e-11,0.0
56,1.809330367534374e-11,4.0207341500763865e-11,5.450065049820566e-11,5.6519193109250314e-11
