Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,5.7287838863762393e-11,1.5754155687534658e-11,6.611325101907247e-11,2.7547187924613528e-11
2,2.0050743602316837e-11,4.5830271091009913e-11,3.1679266113305556e-11,3.3056625509536236e-11
3,3.1508311375069317e-11,2.1482939573910898e-11,6.886796981153382e-12,2.0660390943460146e-11
4,2.7211723460287138e-11,3.2940507346663375e-11,6.611325101907247e-11,2.34151097359215e-11
5,4.0101487204633673e-11,2.8643919431881196e-12,1.928303154722947e-11,7.300004800022585e-11
6,6.015223080695052e-11,9.309273815361389e-11,2.34151097359215e-11,4.132078188692029e-11
7,5.1559054977386153e-11,4.29658791478218e-12,5.647173524545773e-11,2.34151097359215e-11
8,1.8618547630722778e-11,5.1559054977386153e-11,2.6169828528382854e-11,3.856606309445894e-11
9,1.718635165912872e-11,4.726246706260397e-11,3.856606309445894e-11,3.0301906717074876e-11
10,1.8618547630722778e-11,1.5754155687534658e-11,4.1320781886920295e-12,3.994342249068961e-11
11,4.726246706260397e-11,8.59317582956436e-12,4.958493826430435e-11,4.958493826430435e-11
12,2.8643919431881197e-11,8.020297440926735e-11,1.7905672150998795e-11,4.545286007561232e-11
13,5.7287838863762393e-11,1.5754155687534658e-11,3.7188703698228264e-11,2.4792469132152174e-11
14,0.0,2.4347331517099018e-11,0.0,2.754718792461353e-12
15,5.5855642892168335e-11,4.153368317622773e-11,5.371701645299638e-11,2.8924547320844205e-11
16,2.1482939573910898e-11,1.2889763744346538e-11,1.7905672150998795e-11,4.958493826430435e-11
17,3.1508311375069317e-11,5.1559054977386153e-11,3.3056625509536236e-11,4.132078188692029e-11
18,2.0050743602316837e-11,0.0,2.34151097359215e-11,2.7547187924613528e-11
19,5.7287838863762393e-11,2.0050743602316837e-11,4.132078188692029e-11,2.6169828528382854e-11
20,4.0101487204633673e-11,6.158442677854457e-11,3.7188703698228264e-11,5.784909464168841e-11
21,1.1457567772752478e-11,3.2940507346663375e-11,1.2396234566076087e-11,3.443398490576691e-11
22,4.726246706260397e-11,0.0,2.7547187924613528e-11,4.8207578868073674e-11
23,3.58048992898515e-11,2.1482939573910898e-11,6.473589162284179e-11,1.2396234566076087e-11
24,2.4347331517099018e-11,8.593175829564359e-11,1.3773593962306764e-11,7.713212618891788e-11
25,6.44488187217327e-11,0.0,2.7547187924613528e-11,0.0
26,1.4321959715940598e-11,4.153368317622773e-11,5.233965705676571e-11,3.0301906717074876e-11
27,1.8618547630722778e-11,2.7211723460287138e-11,4.4075500679381646e-11,1.2396234566076087e-11
28,5.0126859005792095e-11,4.726246706260397e-11,3.0301906717074876e-11,4.958493826430435e-11
29,2.4347331517099018e-11,5.299125094898021e-11,5.647173524545773e-11,0.0
30,5.5855642892168335e-11,1.718635165912872e-11,9.641515773614734e-12,5.784909464168841e-11
31,8.163517038086141e-11,5.7287838863762393e-11,7.850948558514855e-11,2.0660390943460146e-11
32,1.718635165912872e-11,2.2915135545504957e-11,3.856606309445894e-11,3.994342249068961e-11
33,3.58048992898515e-11,2.1482939573910898e-11,4.6830219471843e-11,2.2037750339690823e-11
34,3.7237095261445557e-11,5.4423446920574277e-11,1.7905672150998795e-11,6.198117283038044e-11
35,6.015223080695052e-11,5.0126859005792095e-11,2.6169828528382854e-11,0.0
36,0.0,2.7211723460287138e-11,6.886796981153382e-12,1.1018875169845412e-11
37,4.4398075119415855e-11,0.0,7.437740739645653e-11,5.647173524545773e-11
38,7.160979857970299e-12,7.1609798579703e-11,2.2037750339690823e-11,1.928303154722947e-11
39,2.8643919431881197e-11,1.1457567772752478e-11,1.1018875169845412e-11,6.198117283038044e-11
40,3.1508311375069317e-11,9.166054218201983e-11,4.545286007561232e-11,1.3773593962306764e-12
41,2.4347331517099018e-11,0.0,6.749061041530315e-11,5.784909464168841e-11
42,4.8694663034198037e-11,3.8669291233039615e-11,0.0,3.443398490576691e-11
43,1.8618547630722778e-11,2.0050743602316837e-11,3.7188703698228264e-11,1.5150953358537438e-11
44,1.0025371801158418e-11,5.4423446920574277e-11,7.713212618891788e-11,7.162268860399518e-11
45,5.1559054977386153e-11,1.2889763744346538e-11,1.2396234566076087e-11,1.2396234566076087e-11
46,2.0050743602316837e-11,3.437270331825744e-11,7.02453292077645e-11,3.994342249068961e-11
47,4.153368317622773e-11,2.2915135545504957e-11,2.8924547320844205e-11,3.0301906717074876e-11
