Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,1.3993482775218422e-11,3.6732892284948355e-11,4.6393713533901004e-11,0.0
2,8.745926734511513e-12,2.7986965550436845e-11,2.8167611788439895e-11,2.651069344794343e-11
3,5.422474575397139e-11,3.498370693804605e-11,2.1539938426454038e-11,4.473679519340454e-11
4,1.9241038815925332e-11,4.897718971326447e-11,1.1598428383475251e-11,2.8167611788439895e-11
5,4.023126297875296e-11,1.2244297428316118e-11,4.8050631874397465e-11,2.9824530128936356e-11
6,1.2244297428316118e-11,6.99674138760921e-11,1.1598428383475251e-11,4.8050631874397465e-11
7,7.521496991679901e-11,0.0,3.1481448469432823e-11,2.3196856766950502e-11
8,1.9241038815925332e-11,2.0990224162827634e-11,5.467830523638333e-11,3.3138366809929284e-11
9,2.2739409509729934e-11,7.871334061060363e-11,5.302138689588686e-11,5.633522357687979e-11
10,0.0,3.1485336244241447e-11,8.284591702482321e-12,2.651069344794343e-11
11,6.12214871415806e-11,4.3729633672557565e-11,1.6569183404964642e-11,0.0
12,0.0,4.198044832565527e-11,2.8167611788439895e-11,6.130597859836918e-11
13,4.7228004366362177e-11,1.3993482775218422e-11,6.296289693886565e-11,2.1539938426454038e-11
14,0.0,3.6732892284948355e-11,1.4912265064468178e-11,4.3079876852908076e-11
15,7.871334061060363e-11,1.5742668122120723e-11,4.473679519340454e-11,2.4853775107446963e-11
16,6.996741387609211e-12,6.47198578353852e-11,0.0,6.461981527936211e-11
17,5.2475560407069084e-11,4.897718971326447e-11,6.461981527936211e-11,2.9824530128936356e-11
18,5.072637506016678e-11,2.7986965550436845e-11,3.1481448469432823e-11,2.3196856766950502e-11
19,2.7986965550436845e-11,3.498370693804605e-11,4.142295851241161e-11,3.3138366809929284e-11
20,2.7986965550436845e-11,4.3729633672557565e-11,5.13644685553904e-11,2.9824530128936356e-11
21,5.072637506016678e-11,3.4983706938046056e-12,1.3255346723971715e-11,3.810912183141868e-11
22,1.2244297428316118e-11,5.422474575397139e-11,3.810912183141868e-11,2.1539938426454038e-11
23,4.3729633672557565e-11,1.0495112081413817e-11,2.8167611788439895e-11,6.627673361985858e-12
24,4.7228004366362177e-11,4.3729633672557565e-11,4.473679519340454e-11,6.461981527936211e-11
25,0.0,2.2739409509729934e-11,2.1539938426454038e-11,6.627673361985858e-12
26,5.597393110087369e-11,3.1485336244241447e-11,3.1481448469432823e-11,5.302138689588686e-11
27,0.0,6.82182285291898e-11,2.1539938426454038e-11,2.651069344794343e-11
28,1.5742668122120723e-11,1.9241038815925332e-11,1.1598428383475251e-11,3.645220349092221e-11
29,8.221171130440823e-11,2.4488594856632236e-11,7.621824366283736e-11,1.4912265064468178e-11
30,8.745926734511513e-12,1.3993482775218422e-11,9.941510042978787e-12,2.1539938426454038e-11
31,2.7986965550436845e-11,6.47198578353852e-11,6.130597859836918e-11,6.627673361985857e-11
32,6.646904318228751e-11,2.4488594856632236e-11,2.8167611788439895e-11,3.976604017191515e-11
33,2.7986965550436845e-11,1.9241038815925332e-11,1.3255346723971715e-11,0.0
34,2.0990224162827634e-11,4.547881901945987e-11,5.302138689588686e-11,3.645220349092221e-11
35,6.996741387609211e-12,3.498370693804605e-11,3.479528515042575e-11,5.964906025787271e-11
36,7.346578456989671e-11,3.3234521591143756e-11,8.284591702482321e-12,2.9824530128936356e-11
37,2.6237780203534542e-11,3.6732892284948355e-11,8.947359038680907e-11,1.6569183404964642e-11
38,3.498370693804605e-11,2.0990224162827634e-11,2.1539938426454038e-11,2.1539938426454038e-11
39,4.023126297875296e-11,1.0495112081413817e-11,1.4912265064468178e-11,1.6569183404964642e-11
40,2.4488594856632236e-11,6.297067248848289e-11,3.313836680992929e-12,6.130597859836918e-11
41,7.346578456989671e-11,1.7491853469023026e-11,6.627673361985857e-11,0.0
42,1.0495112081413817e-11,5.597393110087369e-11,6.793365196035504e-11,8.284591702482322e-11
43,6.12214871415806e-11,2.973615089733915e-11,2.651069344794343e-11,4.8050631874397465e-11
44,0.0,5.2475560407069086e-12,0.0,3.1481448469432823e-11
45,3.3234521591143756e-11,4.547881901945987e-11,6.627673361985857e-11,3.313836680992929e-12
46,6.47198578353852e-11,4.3729633672557565e-11,0.0,5.467830523638333e-11
47,6.99674138760921e-11,4.547881901945987e-11,7.290440698184443e-11,3.3138366809929284e-11
48,0.0,3.498370693804605e-11,2.1539938426454038e-11,5.302138689588686e-11
49,4.7228004366362177e-11,8.745926734511513e-12,2.9824530128936356e-11,0.0
50,2.7986965550436845e-11,3.6732892284948355e-11,1.6569183404964644e-12,5.13644685553904e-11
51,2.7986965550436845e-11,0.0,5.467830523638333e-11,2.651069344794343e-11
