Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,1.5074879694908877e-11,4.019967918642367e-11,2.9217322885046875e-11,0.0
2,1.20599037559271e-11,2.41198075118542e-11,4.231474348868858e-11,1.9142383959168644e-11
3,4.1204671166084256e-11,3.718470324744189e-11,2.216486563693211e-11,5.64196579849181e-11
4,1.808985563389065e-11,2.914476741015716e-11,1.208992671105388e-11,1.9142383959168644e-11
5,4.82396150237084e-11,1.6079871674569467e-11,4.936720073680334e-11,3.1232310670222523e-11
6,1.6079871674569467e-11,6.632947065759906e-11,1.4104914496229525e-11,3.02248167776347e-11
7,7.23594225355626e-11,0.0,2.9217322885046875e-11,3.1232310670222523e-11
8,2.210982355253302e-11,2.5124799491514792e-11,4.936720073680334e-11,1.9142383959168644e-11
9,2.8139775430496568e-11,6.532447867793845e-11,4.231474348868858e-11,6.347211523303287e-11
10,1.0049919796605917e-12,3.61797112677813e-11,1.8134890066580823e-11,2.720233509987123e-11
11,7.637939045420497e-11,2.6129791471175383e-11,6.04496335552694e-12,1.0074938925878234e-12
12,0.0,5.0249598983029584e-11,4.432973127386422e-11,6.347211523303287e-11
13,5.6279550860993136e-11,1.6079871674569467e-11,6.145712744785722e-11,2.216486563693211e-11
14,3.014975938981775e-12,3.2159743349138935e-11,2.115737174434429e-11,3.02248167776347e-11
15,5.0249598983029584e-11,1.4069887715248284e-11,4.231474348868858e-11,3.1232310670222523e-11
16,1.0049919796605917e-11,5.326457492201136e-11,0.0,4.835970684421552e-11
17,5.828953482031432e-11,5.125459096269018e-11,6.850958469597199e-11,5.037469462939116e-11
18,3.8189695227102487e-11,1.105491177626651e-11,3.727727402574946e-11,1.8134890066580823e-11
19,3.014975938981775e-11,2.5124799491514792e-11,3.02248167776347e-11,3.324729845539817e-11
20,4.5224639084726626e-11,4.622963106438722e-11,4.0299755703512936e-11,2.115737174434429e-11
21,2.110483157287243e-11,8.039935837284734e-12,7.0524572481147625e-12,4.432973127386422e-11
22,2.110483157287243e-11,6.833945461692023e-11,3.727727402574946e-11,2.115737174434429e-11
23,5.828953482031432e-11,8.039935837284734e-12,3.02248167776347e-11,9.067445033290411e-12
24,5.4269566901671954e-11,4.3214655125405444e-11,4.432973127386422e-11,5.037469462939116e-11
25,0.0,2.210982355253302e-11,2.9217322885046875e-11,9.067445033290411e-12
26,4.7234623044047815e-11,2.914476741015716e-11,3.223980456281035e-11,6.145712744785722e-11
27,0.0,6.733446263725965e-11,2.9217322885046875e-11,2.216486563693211e-11
28,1.7084863654230058e-11,2.7134783450835977e-11,6.04496335552694e-12,2.417985342210776e-11
29,8.54243182711503e-11,1.808985563389065e-11,9.772690758101886e-11,2.0149877851756468e-11
30,1.4069887715248284e-11,1.4069887715248284e-11,4.0299755703512935e-12,3.223980456281035e-11
31,3.517471928812071e-11,6.13045107592961e-11,5.843464577009375e-11,4.634471905903987e-11
32,5.7284542840653724e-11,2.7134783450835977e-11,3.6269780133161645e-11,4.130724959610076e-11
33,2.914476741015716e-11,2.914476741015716e-11,1.7127396173992998e-11,2.0149877851756467e-12
34,2.41198075118542e-11,5.0249598983029584e-11,3.4254792347985996e-11,4.130724959610076e-11
35,5.0249598983029586e-12,3.718470324744189e-11,3.526228624057382e-11,6.44796091256207e-11
36,7.135443055590202e-11,1.808985563389065e-11,5.037469462939117e-12,2.417985342210776e-11
37,2.7134783450835977e-11,2.6129791471175383e-11,6.649459691079634e-11,2.3172359529519935e-11
38,2.7134783450835977e-11,2.6129791471175383e-11,2.3172359529519935e-11,1.1082432818466055e-11
39,2.914476741015716e-11,2.110483157287243e-11,1.4104914496229525e-11,1.7127396173992998e-11
40,2.0099839593211834e-11,5.125459096269018e-11,4.0299755703512935e-12,6.145712744785722e-11
41,6.632947065759906e-11,1.6079871674569467e-11,4.936720073680334e-11,0.0
42,1.808985563389065e-11,6.733446263725965e-11,7.455454805149893e-11,7.858452362185022e-11
43,5.828953482031432e-11,1.808985563389065e-11,2.9217322885046875e-11,2.9217322885046875e-11
44,3.014975938981775e-12,4.019967918642367e-12,2.0149877851756467e-12,2.6194841207283405e-11
45,2.6129791471175383e-11,4.82396150237084e-11,6.246462134044505e-11,1.208992671105388e-11
46,5.828953482031432e-11,4.622963106438722e-11,5.037469462939117e-12,5.3397176307154634e-11
47,3.2159743349138935e-11,4.019967918642367e-11,7.556204194408675e-11,3.526228624057382e-11
48,0.0,3.718470324744189e-11,3.02248167776347e-11,6.649459691079634e-11
49,6.331449471861728e-11,2.0099839593211834e-11,4.432973127386422e-11,0.0
50,2.5124799491514792e-11,3.4169727308460117e-11,1.0074938925878234e-11,4.936720073680334e-11
51,4.421964710506604e-11,3.014975938981775e-12,2.820982899245905e-11,3.223980456281035e-11
52,2.41198075118542e-11,7.33644145152232e-11,1.208992671105388e-11,2.417985342210776e-11
53,6.833945461692023e-11,3.61797112677813e-11,7.052457248114764e-11,3.02248167776347e-12
54,5.0249598983029586e-12,2.7134783450835977e-11,6.04496335552694e-12,6.44796091256207e-11
55,4.1204671166084256e-11,1.0049919796605917e-11,1.3097420603641702e-11,2.0149877851756467e-12
56,1.808985563389065e-11,5.828953482031432e-11,4.231474348868858e-11,7.858452362185022e-11
57,5.4269566901671954e-11,1.808985563389065e-11,4.936720073680334e-11,2.518734731469558e-11
58,1.5074879694908877e-11,4.421964710506604e-11,2.216486563693211e-11,5.843464577009375e-11
59,3.8189695227102487e-11,4.019967918642367e-12,6.04496335552694e-12,4.7352212951627694e-11
60,2.0099839593211834e-11,4.421964710506604e-11,3.727727402574946e-11,0.0
61,2.7134783450835977e-11,3.4169727308460117e-11,3.324729845539817e-11,3.02248167776347e-12
62,2.8139775430496568e-11,4.622963106438722e-11,4.432973127386422e-11,5.64196579849181e-11
63,5.929452679997491e-11,2.6129791471175383e-11,2.417985342210776e-11,2.216486563693211e-11
64,3.014975938981775e-12,5.527455888133254e-11,1.8134890066580823e-11,5.7427151877505925e-11
65,4.5224639084726626e-11,1.3064895735587691e-11,7.75770297292624e-11,1.6119902281405174e-11
66,0.0,2.7134783450835977e-11,0.0,3.727727402574946e-11
67,4.5224639084726626e-11,5.125459096269018e-11,2.216486563693211e-11,2.6194841207283405e-11
68,5.2259582942350766e-11,1.7084863654230058e-11,1.3097420603641702e-11,3.4254792347985996e-11
69,4.9244607003368996e-11,5.0249598983029586e-12,5.238968241456681e-11,2.720233509987123e-11
70,0.0,6.532447867793845e-11,3.929226181092511e-11,4.3322237381276396e-11
71,3.9194687206763074e-11,3.61797112677813e-11,2.3172359529519935e-11,8.059951140702587e-12
72,1.3064895735587691e-11,4.5224639084726626e-11,5.238968241456681e-11,5.843464577009375e-11
73,5.326457492201136e-11,2.311481553219361e-11,6.145712744785722e-11,2.216486563693211e-11
74,3.8189695227102487e-11,2.5124799491514792e-11,4.0299755703512935e-12,1.208992671105388e-11
75,2.7134783450835977e-11,4.1204671166084256e-11,4.0299755703512936e-11,7.35470541589111e-11
76,3.718470324744189e-11,2.41198075118542e-11,1.3097420603641702e-11,3.1232310670222523e-11
77,6.331449471861728e-11,5.7284542840653724e-11,4.936720073680334e-11,2.216486563693211e-11
78,0.0,3.014975938981775e-11,2.6194841207283405e-11,5.1382188521978985e-11
79,1.6079871674569467e-11,0.0,3.02248167776347e-11,2.216486563693211e-11
80,5.828953482031432e-11,2.914476741015716e-11,4.3322237381276396e-11,3.929226181092511e-11
81,1.20599037559271e-11,2.311481553219361e-11,5.037469462939116e-11,7.0524572481147625e-12
82,4.019967918642367e-11,9.446924608809563e-11,1.6119902281405174e-11,2.720233509987123e-11
83,4.3214655125405444e-11,1.6079871674569467e-11,3.223980456281035e-11,3.02248167776347e-11
84,1.105491177626651e-11,3.61797112677813e-11,2.417985342210776e-11,2.720233509987123e-11
85,6.431948669827787e-11,7.034943857624142e-12,4.130724959610076e-11,1.0074938925878234e-11
86,6.02995187796355e-12,4.1204671166084256e-11,0.0,7.858452362185022e-11
87,7.034943857624142e-11,5.7284542840653724e-11,7.253956026632329e-11,2.216486563693211e-11
88,1.7084863654230058e-11,3.2159743349138935e-11,8.059951140702587e-12,3.02248167776347e-11
89,3.014975938981775e-11,1.0049919796605917e-12,5.3397176307154634e-11,2.9217322885046875e-11
90,7.034943857624142e-12,5.4269566901671954e-11,0.0,9.067445033290411e-12
91,5.6279550860993136e-11,9.044927816945325e-12,7.556204194408675e-11,3.526228624057382e-11
92,3.4169727308460117e-11,4.019967918642367e-11,3.4254792347985996e-11,6.246462134044505e-11
93,3.718470324744189e-11,1.4069887715248284e-11,2.115737174434429e-11,0.0
94,9.044927816945325e-12,3.517471928812071e-11,4.7352212951627694e-11,5.541216409233028e-11
95,8.140435035250793e-11,5.2259582942350766e-11,4.634471905903987e-11,2.216486563693211e-11
96,2.5124799491514792e-11,6.02995187796355e-11,3.223980456281035e-11,3.929226181092511e-11
97,2.210982355253302e-11,1.3064895735587691e-11,1.208992671105388e-11,4.7352212951627694e-11
98,1.7084863654230058e-11,3.014975938981775e-11,1.8134890066580823e-11,3.526228624057382e-11
99,4.7234623044047815e-11,2.110483157287243e-11,6.145712744785722e-11,3.223980456281035e-11
100,2.6129791471175383e-11,8.039935837284734e-11,2.820982899245905e-11,1.4104914496229525e-11
101,6.733446263725965e-11,0.0,3.1232310670222523e-11,4.231474348868858e-11
102,0.0,3.115475136947835e-11,2.216486563693211e-11,4.5337225166452045e-11
103,5.6279550860993136e-11,1.9094847613551243e-11,4.634471905903987e-11,2.0149877851756468e-11
104,0.0,5.2259582942350766e-11,0.0,4.0299755703512936e-11
