Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,1.2836045792987187e-11,4.7065501240953014e-11,3.084445635844146e-11,0.0
2,1.4547518565385478e-11,3.422945544796583e-11,3.733802611811334e-11,2.597427903868754e-11
3,5.391139233054618e-11,3.1662246289368394e-11,1.6233924399179714e-11,6.006552027696494e-11
4,1.9681936882580352e-11,3.0806509903169245e-11,1.1363747079425798e-11,1.2175443299384784e-11
5,5.1344183171948746e-11,1.7114727723982914e-11,6.493569759671885e-11,4.870177319753914e-11
6,1.7114727723982914e-11,6.674743812353337e-11,8.928658419548843e-12,3.97731147779903e-11
7,7.10261200545291e-11,0.0,3.165615257840044e-11,3.246784879835943e-11
8,2.396061881357608e-11,3.0806509903169245e-11,5.6818735397128996e-11,3.733802611811334e-11
9,3.422945544796583e-11,8.129495668891885e-11,4.301989965782624e-11,3.733802611811334e-11
10,1.7114727723982916e-12,2.1393409654978644e-11,5.681873539712899e-12,2.3539190378810584e-11
11,7.872774753032141e-11,3.1662246289368394e-11,8.928658419548843e-12,1.6233924399179713e-12
12,0.0,5.391139233054618e-11,3.571463367819537e-11,4.951346941749813e-11
13,5.476712871674533e-11,1.0268836634389749e-11,6.331230515680088e-11,2.2727494158851596e-11
14,8.557363861991458e-13,3.3373719061766686e-11,2.597427903868754e-11,3.4091241238277396e-11
15,4.792123762715216e-11,1.1124573020588895e-11,4.464329209774421e-11,3.814972233807233e-11
16,1.1124573020588895e-11,6.075728342013935e-11,0.0,4.2208203437867255e-11
17,4.8776974013351306e-11,3.594092822036412e-11,5.763043161708799e-11,4.7890076977580156e-11
18,3.594092822036412e-11,1.2836045792987187e-11,2.7597671478605513e-11,2.1104101718933627e-11
19,2.4816355199775227e-11,3.3373719061766686e-11,3.733802611811334e-11,3.003276013848247e-11
20,3.679666460656327e-11,2.9095037130770957e-11,3.4902937458236384e-11,3.084445635844146e-11
21,2.9095037130770957e-11,4.278681930995729e-12,1.0552050859466814e-11,5.194855807737508e-11
22,1.198030940678804e-11,7.10261200545291e-11,2.516258281872856e-11,2.2727494158851596e-11
23,5.391139233054618e-11,3.422945544796583e-12,2.6785975258646526e-11,1.6233924399179714e-11
24,3.765240099276241e-11,4.278681930995729e-11,3.571463367819537e-11,4.301989965782624e-11
25,0.0,1.9681936882580352e-11,3.733802611811334e-11,1.6233924399179714e-11
26,6.161301980633849e-11,3.594092822036412e-11,2.435088659876957e-11,5.6818735397128996e-11
27,0.0,7.359332921312654e-11,2.6785975258646526e-11,3.733802611811334e-11
28,1.797046411018206e-11,3.594092822036412e-11,1.1363747079425798e-11,3.246784879835943e-11
29,9.327526609570688e-11,2.1393409654978644e-11,8.279301443581653e-11,1.7045620619138698e-11
30,1.3691782179186332e-11,1.5403254951584623e-11,5.681873539712899e-12,2.8409367698564498e-11
31,4.364255569615643e-11,6.589170173733422e-11,6.168891271688292e-11,5.276025429733407e-11
32,4.7065501240953014e-11,3.594092822036412e-11,3.571463367819537e-11,3.246784879835943e-11
33,2.5672091585974373e-11,2.5672091585974373e-11,2.3539190378810584e-11,8.116962199589857e-13
34,3.251798267556754e-11,5.391139233054618e-11,4.545498831770319e-11,3.4902937458236384e-11
35,4.278681930995729e-12,4.021961015135985e-11,4.707838075762117e-11,7.548774845618567e-11
36,8.215069307511799e-11,1.8826200496381206e-11,1.0552050859466814e-11,3.4902937458236384e-11
37,4.1931082923758145e-11,2.5672091585974373e-11,5.519534295721103e-11,1.3798835739302757e-11
38,1.797046411018206e-11,2.5672091585974373e-11,2.2727494158851596e-11,1.7045620619138698e-11
39,2.823930074457181e-11,1.5403254951584623e-11,1.4610531959261744e-11,2.1104101718933627e-11
40,2.652782797217352e-11,5.1344183171948746e-11,6.493569759671885e-12,4.464329209774421e-11
41,6.845891089593166e-11,1.0268836634389749e-11,4.626668453766219e-11,1.6233924399179713e-12
42,1.3691782179186332e-11,5.904581064774106e-11,6.331230515680088e-11,7.061757113643176e-11
43,4.535402846855472e-11,1.2836045792987187e-11,3.97731147779903e-11,2.8409367698564498e-11
44,2.5672091585974372e-12,3.422945544796583e-12,1.6233924399179713e-12,3.3279545018318415e-11
45,2.7383564358372665e-11,4.364255569615643e-11,6.818248247655479e-11,4.058481099794928e-12
46,5.647860148914362e-11,3.9363873765160704e-11,2.4350886598769573e-12,4.951346941749813e-11
