Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,8.013196498737807e-11,8.434943682881902e-12,5.865020906527453e-11,2.230360063045651e-11
2,2.9522302890086654e-11,4.4705201519274076e-11,3.634660843481801e-11,2.478177847828501e-11
3,2.1930853575492946e-11,1.5182898629187422e-11,1.6521185652190004e-12,2.3955719195675507e-11
4,2.9522302890086654e-11,3.6270257836392174e-11,7.269321686963602e-11,2.230360063045651e-11
5,4.386170715098589e-11,5.060966209729141e-12,1.982542278262801e-11,6.195444619571253e-11
6,5.4827133938732367e-11,9.109739177512455e-11,2.1477541347847008e-11,3.965084556525602e-11
7,3.120929162666304e-11,1.6869887365763803e-12,6.525868332615053e-11,1.2390889239142505e-11
8,2.1930853575492946e-11,5.398363957044417e-11,3.304237130438001e-11,4.3781141978303514e-11
9,2.2774347943781137e-11,3.9644235309544944e-11,4.7911438391351015e-11,2.065148206523751e-11
10,1.3495909892611042e-11,3.289628036323942e-11,1.0738770673923504e-11,3.634660843481801e-11
11,3.45832690998158e-11,9.278438051170093e-12,6.278050547832203e-11,4.625931982613202e-11
12,3.45832690998158e-11,7.169702130449617e-11,1.8999363500018505e-11,5.204173480439852e-11
13,7.338401004107255e-11,1.9400370470628373e-11,4.2129023413084517e-11,2.891207489133251e-11
14,8.434943682881901e-13,3.542676346810399e-11,0.0,8.260592826095002e-13
15,4.133122404612132e-11,3.711375220468037e-11,6.443262404354102e-11,2.230360063045651e-11
16,1.9400370470628373e-11,1.0121932419458282e-11,2.478177847828501e-11,6.525868332615053e-11
17,2.6148325416933897e-11,4.723568462413865e-11,2.9738134173942015e-11,3.304237130438001e-11
18,1.6026392997475613e-11,0.0,1.5695126369580506e-11,2.1477541347847008e-11
19,4.723568462413865e-11,2.783531415351028e-11,2.065148206523751e-11,2.230360063045651e-11
20,4.386170715098589e-11,8.350594246053083e-11,4.3781141978303514e-11,5.204173480439852e-11
21,1.5182898629187422e-11,3.9644235309544944e-11,2.312965991306601e-11,2.1477541347847008e-11
22,2.9522302890086654e-11,0.0,2.6433897043504007e-11,5.204173480439852e-11
23,3.6270257836392174e-11,2.9522302890086654e-11,5.534597193483652e-11,9.912711391314005e-12
24,3.6270257836392174e-11,8.60364255653954e-11,6.608474260876002e-12,9.004046180443553e-11
25,5.398363957044417e-11,0.0,3.0564193456551514e-11,0.0
26,2.3617842312069324e-11,3.9644235309544944e-11,4.625931982613202e-11,3.634660843481801e-11
27,1.4339404260899233e-11,2.6148325416933897e-11,3.3868430586989516e-11,1.5695126369580506e-11
28,4.30182127826977e-11,5.398363957044417e-11,3.0564193456551514e-11,6.195444619571253e-11
29,3.120929162666304e-11,3.6270257836392174e-11,5.121567552178902e-11,0.0
30,5.060966209729141e-11,1.9400370470628373e-11,1.1564829956533004e-11,7.764957256529303e-11
31,7.591449314593711e-11,4.048772967783313e-11,6.691080189136953e-11,2.7259956326113512e-11
32,7.591449314593711e-12,3.45832690998158e-11,3.304237130438001e-11,6.360656476093152e-11
33,4.723568462413865e-11,1.1808921156034662e-11,3.304237130438001e-11,1.4869067086971008e-11
34,3.880074094125675e-11,4.892267336071503e-11,2.9738134173942015e-11,6.443262404354102e-11
35,6.157508888503788e-11,5.060966209729141e-11,2.891207489133251e-11,0.0
36,0.0,3.0365797258374845e-11,1.2390889239142505e-11,2.065148206523751e-11
37,6.073159451674969e-11,0.0,6.525868332615053e-11,4.956355695657002e-11
38,6.747954946305521e-12,5.567062830702056e-11,1.982542278262801e-11,2.3955719195675507e-11
39,2.8678808521798466e-11,1.5182898629187422e-11,1.4869067086971008e-11,4.2129023413084517e-11
40,3.45832690998158e-11,7.001003256791979e-11,4.708537910874152e-11,0.0
41,2.6991819785222085e-11,0.0,5.3693853369617526e-11,4.625931982613202e-11
42,5.398363957044417e-11,3.6270257836392174e-11,0.0,3.3868430586989516e-11
43,2.3617842312069324e-11,2.5304831048645706e-11,4.543326054352252e-11,2.230360063045651e-11
44,9.278438051170093e-12,5.651412267530874e-11,5.038961623917952e-11,4.3781141978303514e-11
45,4.976616772900322e-11,1.6869887365763804e-11,2.3955719195675507e-11,1.4043007804361507e-11
46,2.1930853575492946e-11,3.0365797258374845e-11,6.278050547832203e-11,4.708537910874152e-11
47,4.8079178992426846e-11,1.8556876102340186e-11,2.3955719195675507e-11,2.3955719195675507e-11
48,3.6270257836392174e-11,3.9644235309544944e-11,6.608474260876002e-12,3.0564193456551514e-11
49,5.2296650833867794e-11,4.133122404612132e-11,6.443262404354102e-11,9.086652108704503e-12
50,1.6026392997475613e-11,1.6869887365763804e-11,0.0,7.269321686963602e-11
51,2.5304831048645706e-11,4.6392190255850464e-11,6.525868332615053e-11,3.799872700003701e-11
52,2.8678808521798466e-11,4.4705201519274076e-11,2.065148206523751e-11,4.2129023413084517e-11
53,5.3140145202155985e-11,4.6392190255850464e-11,5.782414978266502e-11,0.0
54,2.2774347943781137e-11,2.5304831048645706e-11,8.260592826095002e-13,5.4519912652227025e-11
55,6.579256072647883e-11,4.217471841440951e-12,3.221631202177051e-11,0.0
56,2.1087359207204755e-11,6.410557198990245e-11,5.4519912652227025e-11,6.773686117397903e-11
57,2.8678808521798466e-11,4.892267336071503e-11,2.312965991306601e-11,9.086652108704503e-12
58,4.217471841440951e-12,5.398363957044417e-11,2.9738134173942015e-11,4.2955082695694016e-11
59,5.4827133938732367e-11,0.0,5.4519912652227025e-11,3.0564193456551514e-11
60,0.0,6.241858325332608e-11,4.460720126091302e-11,4.047690484786551e-11
61,7.001003256791979e-11,2.6148325416933897e-11,5.3693853369617526e-11,2.4781778478285013e-12
62,0.0,0.0,2.7259956326113512e-11,7.104109830441703e-11
63,4.723568462413865e-11,5.988810014846151e-11,4.7911438391351015e-11,5.121567552178902e-11
64,3.373977473152761e-11,4.133122404612132e-11,1.6521185652190005e-11,1.0738770673923504e-11
65,5.2296650833867794e-11,2.2774347943781137e-11,1.982542278262801e-11,2.8086015608723014e-11
66,2.8678808521798466e-11,4.217471841440951e-11,2.230360063045651e-11,7.021503902180752e-11
