Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
39,3.999709426561866e-11,7.272198957385212e-12,3.510645777923922e-11,7.39083321668194e-12
40,3.454294504757975e-11,5.454149218038908e-11,3.69541660834097e-12,7.945145707933086e-11
41,2.3634646611501934e-11,5.454149218038908e-12,5.727895742928504e-11,0.0
42,4.181514400496496e-11,5.454149218038908e-11,3.1411041170898246e-11,5.727895742928504e-11
43,3.272489530823345e-11,1.8180497393463026e-11,9.238541520852425e-12,5.543124912511455e-12
44,3.636099478692606e-12,5.090539270169648e-11,4.9888124212603096e-11,7.945145707933086e-11
45,5.272344244104278e-11,2.908879582954085e-11,4.249729099592116e-11,3.880187438758019e-11
46,2.727074609019454e-11,6.18136911377743e-11,4.804041590843261e-11,5.1735832516773583e-11
47,2.545269635084824e-11,2.727074609019454e-11,2.217249965004582e-11,6.651749895013747e-11
48,3.454294504757975e-11,0.0,2.956333286672776e-11,1.847708304170485e-12
49,3.8179044526272353e-11,2.908879582954085e-11,4.434499930009164e-11,7.39083321668194e-12
50,1.818049739346303e-12,4.3633193744311265e-11,0.0,1.847708304170485e-11
51,9.635663618535405e-11,3.272489530823345e-11,4.9888124212603096e-11,2.4020207954216305e-11
52,1.0908298436077816e-11,4.5451243483657566e-11,6.282208234179649e-11,5.1735832516773583e-11
53,4.726929322300387e-11,5.454149218038908e-12,3.1411041170898246e-11,3.69541660834097e-11
54,1.272634817542412e-11,6.72678403558132e-11,9.238541520852425e-12,2.4020207954216305e-11
55,2.908879582954085e-11,7.272198957385212e-12,3.510645777923922e-11,6.0974374037626e-11
56,1.6362447654116724e-11,3.090684556888715e-11,3.510645777923922e-11,2.5867916258386792e-11
57,5.81775916590817e-11,2.727074609019454e-11,4.619270760426212e-11,3.880187438758019e-11
58,2.727074609019454e-11,6.90858900951595e-11,3.69541660834097e-11,2.956333286672776e-11
59,2.545269635084824e-11,7.272198957385212e-12,1.6629374737534367e-11,3.880187438758019e-11
60,1.8180497393463026e-11,4.726929322300387e-11,2.956333286672776e-11,4.804041590843261e-11
61,8.726638748862253e-11,2.1816596872155632e-11,3.510645777923922e-11,3.69541660834097e-12
62,7.272198957385212e-12,1.6362447654116724e-11,1.478166643336388e-11,5.1735832516773583e-11
63,6.54497906164669e-11,7.27219895738521e-11,6.282208234179649e-11,2.5867916258386792e-11
64,2.545269635084824e-11,9.090248696731513e-12,3.69541660834097e-12,2.956333286672776e-11
65,1.999854713280933e-11,2.3634646611501934e-11,4.249729099592116e-11,1.847708304170485e-11
66,4.726929322300387e-11,3.999709426561866e-11,3.69541660834097e-11,2.217249965004582e-11
67,3.636099478692606e-12,3.272489530823345e-11,2.7715624562557275e-11,3.325874947506873e-11
68,9.272053670666145e-11,3.636099478692605e-11,3.69541660834097e-12,4.804041590843261e-11
69,1.6362447654116724e-11,3.272489530823345e-11,7.575604047098989e-11,4.434499930009164e-11
70,3.090684556888715e-11,2.908879582954085e-11,4.804041590843261e-11,1.6629374737534367e-11
71,3.636099478692605e-11,1.6362447654116724e-11,1.108624982502291e-11,2.956333286672776e-11
72,5.090539270169648e-11,5.454149218038908e-11,5.727895742928504e-11,3.880187438758019e-11
73,3.090684556888715e-11,0.0,3.880187438758019e-11,3.69541660834097e-12
74,1.818049739346303e-12,8.544833774927623e-11,3.69541660834097e-11,8.868999860018328e-11
75,7.090393983450581e-11,1.8180497393463026e-11,5.543124912511455e-11,0.0
76,3.272489530823345e-11,2.3634646611501934e-11,3.69541660834097e-11,4.9888124212603096e-11
