Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,3.621442146803234e-11,1.117473576727855e-10,6.63750311074097e-11,3.178522616411169e-11
2,3.517972371180284e-11,4.656139903032729e-11,2.430634941961482e-11,1.963205145430428e-11
3,5.587367883639275e-11,0.0,5.4221856397602294e-11,3.272008575717379e-11
4,5.380428332393376e-11,4.035321249295032e-11,2.8980647384925362e-11,4.674297965310543e-11
5,2.483274614950789e-11,6.001246986131072e-11,4.954755843229175e-11,1.4022893895931627e-11
6,2.7936839418196374e-11,3.207563044311435e-11,4.580812006004332e-11,8.600708256171398e-11
7,5.483898108016326e-11,2.690214166196688e-11,2.991550697798747e-11,4.6742979653105424e-12
8,0.0,4.759609678655679e-11,5.51567159906644e-11,3.926410290860856e-11
9,7.760233171721216e-11,1.758986185590142e-11,2.7110928198801147e-11,0.0
10,1.8624559612130915e-11,7.139414517983519e-11,9.348595930621085e-12,5.609157558372651e-11
11,2.483274614950789e-11,2.27633506370489e-11,5.702643517678862e-11,2.430634941961482e-11
12,1.8624559612130915e-11,3.414502595557335e-11,2.1501770640428496e-11,5.235213721147807e-11
13,6.104716761754023e-11,1.965925736836041e-11,2.2436630233490603e-11,1.0283455523683192e-11
14,4.966549229901578e-11,3.724911922426183e-11,1.3088034302869518e-11,4.767783924616753e-11
15,7.139414517983519e-11,4.44920035178683e-11,1.963205145430428e-11,4.6742979653105424e-12
16,1.8624559612130915e-11,5.7943074348851746e-11,4.954755843229175e-11,5.048241802535386e-11
17,5.483898108016326e-11,2.7936839418196374e-11,3.926410290860856e-11,4.674297965310543e-11
18,4.656139903032729e-11,5.7943074348851746e-11,3.36549453502359e-11,4.113382209473277e-11
19,3.104093268688486e-11,2.069395512458991e-11,3.739438372248434e-11,9.348595930621085e-12
20,3.000623493065536e-11,4.242260800540931e-11,1.4022893895931627e-11,9.068138052702452e-11
21,3.311032819934385e-11,3.207563044311435e-11,2.524120901267693e-11,1.4022893895931627e-11
22,4.863079454278628e-11,6.62206563986877e-11,4.206868168779488e-11,5.235213721147807e-11
23,2.5867443905737384e-11,2.483274614950789e-11,3.178522616411169e-11,0.0
24,5.276958556770427e-11,1.552046634344243e-11,5.702643517678862e-11,6.076587354903705e-11
