Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,1.4095127675933697e-11,4.832615203177268e-11,2.4325540198593773e-11,0.0
2,2.214948634789581e-11,2.214948634789581e-11,3.6488310297890656e-11,3.040692524824222e-11
3,3.8258203691820036e-11,4.0271793359810566e-11,2.2298411848710958e-11,6.284097884636724e-11
4,1.4095127675933697e-11,4.832615203177268e-11,8.108513399531256e-12,1.2162770099296886e-11
5,5.033974169976321e-11,1.0067948339952641e-11,5.878672214660161e-11,3.851543864777348e-11
6,2.214948634789581e-11,5.033974169976321e-11,1.2162770099296886e-11,5.067820874707036e-11
7,6.443486937569691e-11,0.0,3.851543864777348e-11,1.8244155148945328e-11
8,1.4095127675933697e-11,3.8258203691820036e-11,5.270533709695317e-11,3.446118194800785e-11
9,2.214948634789581e-11,6.242127970770638e-11,4.0542566997656286e-11,5.878672214660161e-11
10,0.0,2.0135896679905283e-11,1.2162770099296886e-11,2.0271283498828143e-11
11,5.638051070373479e-11,2.8190255351867395e-11,1.4189898449179701e-11,6.081385049648443e-12
12,0.0,4.6312562363782154e-11,4.662395204730473e-11,4.4596823697421915e-11
13,5.839410037172532e-11,8.054358671962113e-12,6.486810719625005e-11,2.8379796898359402e-11
14,4.027179335981057e-12,5.235333136775373e-11,1.6217026799062513e-11,3.446118194800785e-11
15,4.2285383027801095e-11,1.6108717343924227e-11,3.2434053598125026e-11,3.040692524824222e-11
16,1.208153800794317e-11,4.6312562363782154e-11,0.0,4.25696953475391e-11
17,5.235333136775373e-11,4.0271793359810566e-11,5.473246544683599e-11,6.081385049648443e-11
18,6.242127970770638e-11,1.8122307011914753e-11,3.6488310297890656e-11,2.6352668548476584e-11
19,3.8258203691820036e-11,4.0271793359810566e-11,4.0542566997656286e-11,3.851543864777348e-11
20,4.0271793359810566e-11,2.8190255351867395e-11,2.4325540198593773e-11,3.040692524824222e-11
21,2.6176665683876865e-11,6.040769003971585e-12,1.8244155148945328e-11,3.2434053598125026e-11
22,3.2217434687848454e-11,7.248922804765901e-11,3.6488310297890656e-11,2.4325540198593773e-11
23,4.6312562363782154e-11,4.027179335981057e-12,4.0542566997656286e-11,1.8244155148945328e-11
24,5.638051070373479e-11,3.6244614023829506e-11,3.040692524824222e-11,5.067820874707036e-11
25,0.0,6.040769003971585e-12,2.2298411848710958e-11,6.081385049648443e-12
26,4.0271793359810566e-11,2.8190255351867395e-11,2.0271283498828143e-11,6.081385049648443e-11
27,0.0,7.248922804765901e-11,2.2298411848710958e-11,4.4596823697421915e-11
28,2.214948634789581e-11,4.2285383027801095e-11,1.0135641749414071e-11,2.6352668548476584e-11
29,8.457076605560219e-11,3.6244614023829506e-11,6.89223638960157e-11,2.2298411848710958e-11
30,8.054358671962113e-12,2.214948634789581e-11,8.108513399531256e-12,2.6352668548476584e-11
31,4.0271793359810566e-11,6.242127970770638e-11,6.89223638960157e-11,3.040692524824222e-11
32,7.04756383796685e-11,2.6176665683876865e-11,3.040692524824222e-11,3.446118194800785e-11
33,1.6108717343924227e-11,3.423102435583898e-11,2.6352668548476584e-11,0.0
34,3.6244614023829506e-11,5.4366921035744266e-11,5.067820874707036e-11,3.2434053598125026e-11
35,6.040769003971585e-12,2.6176665683876865e-11,3.040692524824222e-11,7.500374894566413e-11
36,7.651640738364007e-11,2.416307601588634e-11,8.108513399531256e-12,3.851543864777348e-11
37,2.0135896679905283e-11,1.4095127675933697e-11,7.500374894566413e-11,1.4189898449179701e-11
38,1.4095127675933697e-11,2.214948634789581e-11,3.446118194800785e-11,1.2162770099296886e-11
39,5.235333136775373e-11,8.054358671962113e-12,6.081385049648443e-12,2.4325540198593773e-11
40,1.6108717343924227e-11,4.832615203177268e-11,4.054256699765628e-12,5.473246544683599e-11
41,5.839410037172532e-11,4.027179335981057e-12,6.284097884636724e-11,0.0
42,1.0067948339952641e-11,8.054358671962113e-11,6.689523554613289e-11,9.324790409460946e-11
43,5.4366921035744266e-11,1.208153800794317e-11,2.2298411848710958e-11,3.446118194800785e-11
44,4.027179335981057e-12,2.0135896679905284e-12,0.0,2.0271283498828143e-11
45,2.214948634789581e-11,5.638051070373479e-11,6.689523554613289e-11,1.0135641749414071e-11
46,7.04756383796685e-11,2.416307601588634e-11,0.0,3.851543864777348e-11
47,3.0203845019857924e-11,7.04756383796685e-11,7.905800564542976e-11,1.8244155148945328e-11
48,0.0,4.2285383027801095e-11,2.2298411848710958e-11,7.297662059578131e-11
49,4.832615203177268e-11,1.4095127675933697e-11,6.081385049648443e-11,0.0
50,4.6312562363782154e-11,4.0271793359810566e-11,6.081385049648443e-12,4.0542566997656286e-11
51,3.2217434687848454e-11,1.208153800794317e-11,4.25696953475391e-11,4.25696953475391e-11
52,2.0135896679905283e-11,5.839410037172532e-11,2.0271283498828143e-11,2.6352668548476584e-11
53,6.846204871167795e-11,5.638051070373479e-11,6.081385049648443e-11,6.081385049648443e-12
54,2.0135896679905284e-12,1.0067948339952641e-11,1.0135641749414071e-11,6.081385049648443e-11
55,3.423102435583898e-11,1.208153800794317e-11,1.6217026799062513e-11,0.0
56,1.0067948339952641e-11,6.846204871167795e-11,4.662395204730473e-11,4.8651080397187545e-11
57,4.6312562363782154e-11,1.4095127675933697e-11,3.851543864777348e-11,3.2434053598125026e-11
58,2.0135896679905283e-11,3.6244614023829506e-11,3.446118194800785e-11,2.8379796898359402e-11
59,3.423102435583898e-11,2.0135896679905284e-12,1.2162770099296886e-11,5.067820874707036e-11
60,4.6312562363782154e-11,4.832615203177268e-11,5.067820874707036e-11,0.0
61,3.8258203691820036e-11,3.6244614023829506e-11,2.6352668548476584e-11,0.0
62,3.6244614023829506e-11,5.4366921035744266e-11,3.2434053598125026e-11,6.486810719625005e-11
63,6.040769003971585e-11,2.214948634789581e-11,2.0271283498828143e-11,2.8379796898359402e-11
64,4.027179335981057e-12,7.248922804765901e-11,1.4189898449179701e-11,7.703087729554695e-11
65,5.235333136775373e-11,1.4095127675933697e-11,7.500374894566413e-11,2.2298411848710958e-11
66,0.0,2.6176665683876865e-11,0.0,2.4325540198593773e-11
67,5.235333136775373e-11,3.2217434687848454e-11,1.4189898449179701e-11,3.040692524824222e-11
68,3.8258203691820036e-11,2.8190255351867395e-11,1.4189898449179701e-11,5.473246544683599e-11
69,4.2285383027801095e-11,8.054358671962113e-12,6.89223638960157e-11,1.4189898449179701e-11
70,0.0,6.443486937569691e-11,3.446118194800785e-11,6.89223638960157e-11
71,2.416307601588634e-11,2.0135896679905283e-11,4.0542566997656286e-11,2.027128349882814e-12
72,1.4095127675933697e-11,4.832615203177268e-11,3.6488310297890656e-11,5.473246544683599e-11
73,4.429897269579162e-11,1.4095127675933697e-11,6.89223638960157e-11,1.8244155148945328e-11
74,4.6312562363782154e-11,2.0135896679905283e-11,0.0,4.054256699765628e-12
75,2.0135896679905283e-11,5.839410037172532e-11,5.473246544683599e-11,7.500374894566413e-11
76,3.2217434687848454e-11,1.6108717343924227e-11,2.027128349882814e-12,3.040692524824222e-11
77,5.4366921035744266e-11,5.638051070373479e-11,4.0542566997656286e-11,1.4189898449179701e-11
78,0.0,2.214948634789581e-11,2.4325540198593773e-11,4.8651080397187545e-11
79,1.6108717343924227e-11,0.0,2.6352668548476584e-11,3.040692524824222e-11
80,8.457076605560219e-11,4.832615203177268e-11,3.6488310297890656e-11,4.8651080397187545e-11
81,1.208153800794317e-11,2.214948634789581e-11,5.067820874707036e-11,1.2162770099296886e-11
82,4.6312562363782154e-11,7.651640738364007e-11,6.081385049648443e-12,3.6488310297890656e-11
83,4.6312562363782154e-11,2.416307601588634e-11,5.067820874707036e-11,2.4325540198593773e-11
84,6.040769003971585e-12,2.8190255351867395e-11,1.6217026799062513e-11,3.446118194800785e-11
85,7.450281771564954e-11,2.0135896679905284e-12,5.067820874707036e-11,8.108513399531256e-12
86,6.040769003971585e-12,2.0135896679905283e-11,0.0,8.108513399531257e-11
87,5.638051070373479e-11,6.443486937569691e-11,5.067820874707036e-11,1.6217026799062513e-11
88,3.2217434687848454e-11,3.2217434687848454e-11,2.027128349882814e-12,3.6488310297890656e-11
89,2.214948634789581e-11,4.027179335981057e-12,5.270533709695317e-11,5.6759593796718805e-11
90,2.0135896679905284e-12,9.262512472756431e-11,0.0,1.0135641749414071e-11
91,6.040769003971585e-11,1.0067948339952641e-11,4.662395204730473e-11,2.6352668548476584e-11
92,3.0203845019857924e-11,4.429897269579162e-11,3.446118194800785e-11,4.8651080397187545e-11
93,4.0271793359810566e-11,1.6108717343924227e-11,2.4325540198593773e-11,0.0
94,1.6108717343924227e-11,3.0203845019857924e-11,5.270533709695317e-11,4.25696953475391e-11
95,8.457076605560219e-11,6.846204871167795e-11,7.09494922458985e-11,2.0271283498828143e-11
96,3.2217434687848454e-11,4.832615203177268e-11,3.851543864777348e-11,4.25696953475391e-11
97,1.8122307011914753e-11,1.4095127675933697e-11,6.081385049648443e-12,4.662395204730473e-11
98,2.0135896679905283e-11,2.0135896679905283e-11,1.6217026799062513e-11,4.662395204730473e-11
99,3.2217434687848454e-11,1.6108717343924227e-11,7.703087729554695e-11,2.8379796898359402e-11
100,4.2285383027801095e-11,5.638051070373479e-11,2.2298411848710958e-11,2.0271283498828143e-11
101,6.443486937569691e-11,0.0,4.4596823697421915e-11,4.25696953475391e-11
102,0.0,4.2285383027801095e-11,2.6352668548476584e-11,4.4596823697421915e-11
103,3.8258203691820036e-11,2.0135896679905283e-11,3.2434053598125026e-11,2.6352668548476584e-11
104,0.0,4.832615203177268e-11,0.0,4.4596823697421915e-11
105,5.033974169976321e-11,2.8190255351867395e-11,6.284097884636724e-11,3.040692524824222e-11
106,3.8258203691820036e-11,2.214948634789581e-11,2.2298411848710958e-11,4.0542566997656286e-11
107,4.2285383027801095e-11,0.0,4.25696953475391e-11,0.0
108,2.214948634789581e-11,7.04756383796685e-11,0.0,4.4596823697421915e-11
109,2.0135896679905283e-11,1.8122307011914753e-11,7.09494922458985e-11,2.8379796898359402e-11
110,4.429897269579162e-11,6.242127970770638e-11,2.2298411848710958e-11,4.8651080397187545e-11
111,3.423102435583898e-11,5.033974169976321e-11,1.0135641749414071e-11,0.0
112,3.6244614023829506e-11,2.6176665683876865e-11,4.25696953475391e-11,1.8244155148945328e-11
113,4.832615203177268e-11,4.027179335981057e-12,8.311226234519539e-11,6.89223638960157e-11
114,1.8122307011914753e-11,6.443486937569691e-11,2.027128349882814e-12,1.6217026799062513e-11
115,3.8258203691820036e-11,2.8190255351867395e-11,4.662395204730473e-11,0.0
116,2.416307601588634e-11,2.0135896679905283e-11,2.4325540198593773e-11,4.662395204730473e-11
117,1.6108717343924227e-11,2.0135896679905283e-11,1.6217026799062513e-11,4.4596823697421915e-11
118,0.0,2.416307601588634e-11,4.4596823697421915e-11,3.2434053598125026e-11
119,7.651640738364007e-11,5.4366921035744266e-11,4.4596823697421915e-11,0.0
120,3.0203845019857924e-11,3.2217434687848454e-11,0.0,6.486810719625005e-11
121,4.832615203177268e-11,1.4095127675933697e-11,7.09494922458985e-11,0.0
122,3.8258203691820036e-11,8.859794539158324e-11,1.8244155148945328e-11,5.270533709695317e-11
123,3.2217434687848454e-11,0.0,5.067820874707036e-11,0.0
124,4.0271793359810566e-11,3.2217434687848454e-11,2.027128349882814e-12,6.89223638960157e-11
125,4.2285383027801095e-11,4.0271793359810566e-11,3.851543864777348e-11,2.0271283498828143e-11
126,2.0135896679905283e-11,2.416307601588634e-11,4.054256699765628e-12,7.500374894566413e-11
127,1.06720252403498e-10,1.1678820074345064e-10,1.2162770099296887e-10,2.8379796898359402e-11
