Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,1.606946497116728e-11,4.368885789036104e-11,2.878358309990497e-11,0.0
2,1.1549927948026481e-11,3.766280852617331e-11,4.342786222090926e-11,2.5753732247283396e-11
3,4.218234554931411e-11,2.5108539017448875e-11,1.7169154831522264e-11,5.5042290489291965e-11
4,1.7073806531865236e-11,4.6199711792105926e-11,1.009950284207192e-11,1.7674129973625858e-11
5,4.318668711001206e-11,1.7575977312214214e-11,5.251741477877398e-11,2.7268657673594182e-11
6,1.7575977312214214e-11,6.22691767632732e-11,1.1614428268382707e-11,4.342786222090926e-11
7,7.231259237025275e-11,0.0,3.2318409094630144e-11,2.8278607957801377e-11
8,2.3099855896052963e-11,2.159334355500603e-11,5.554726563139556e-11,3.130845881042295e-11
9,2.159334355500603e-11,6.879739690780992e-11,5.150746449456679e-11,4.544776278932364e-11
10,0.0,3.0632417601287624e-11,1.1109453126279111e-11,3.5348259947251716e-11
11,1.004341560697955e-10,2.8623734479891715e-11,6.059701705243152e-12,1.009950284207192e-12
12,0.0,4.8710565693850816e-11,3.585323508935532e-11,5.554726563139556e-11
13,5.6243127399085474e-11,1.205209872837546e-11,5.6052240773499153e-11,2.171393111045463e-11
14,2.5108539017448876e-12,3.816497930652228e-11,2.5753732247283396e-11,3.1813433952526544e-11
15,4.2684516329663086e-11,1.7575977312214214e-11,4.645771307353083e-11,2.2218906252558223e-11
16,7.532561705234662e-12,4.318668711001206e-11,0.0,4.191293679459847e-11
17,6.277134754362218e-11,4.1680174768965136e-11,6.009204191032792e-11,4.039801136828768e-11
18,5.323010271699161e-11,1.55672941908183e-11,4.342786222090926e-11,1.8179105115729456e-11
19,3.0130246820938646e-11,2.6615051358495806e-11,2.8278607957801377e-11,4.140796165249487e-11
20,3.314327150303251e-11,3.0130246820938646e-11,4.797263849984162e-11,2.272388139466182e-11
21,3.414761306373047e-11,6.528220144536707e-12,1.2119403410486303e-11,4.645771307353083e-11
22,1.5065123410469323e-11,6.980173846850788e-11,3.282338423673374e-11,3.029850852621576e-11
23,5.021707803489775e-11,8.03473248558364e-12,2.9793533384112166e-11,1.009950284207192e-11
24,4.8710565693850816e-11,3.967149164756922e-11,4.393283736301285e-11,4.4437812505116446e-11
25,0.0,2.209551433535501e-11,3.2318409094630144e-11,1.4644279121004283e-11
26,4.670188257245491e-11,2.561070979779785e-11,3.282338423673374e-11,5.251741477877398e-11
27,0.0,6.47800306650181e-11,2.3228856536765415e-11,2.878358309990497e-11
