Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,8.115099543804717e-11,1.0820132725072954e-11,5.245518053523354e-11,2.11838229084597e-11
2,2.921435835769698e-11,3.570643799274075e-11,2.3201329852122528e-11,2.0175069436628283e-11
3,1.7312212360116728e-11,1.6230199087609433e-11,3.0262604154942427e-12,2.5218836795785358e-11
4,3.137838490271157e-11,4.86905972628283e-11,6.758648261270476e-11,2.5218836795785358e-11
5,4.219851762778452e-11,3.2460398175218867e-12,3.4297618042268085e-11,5.64901944225592e-11
6,7.03308627129742e-11,8.656106180058364e-11,2.421008332395394e-11,4.0350138873256567e-11
7,5.1936637080350187e-11,1.0820132725072955e-12,5.0437673591570716e-11,1.210504166197697e-11
8,2.4886305267667798e-11,4.9772610535335596e-11,2.925385068311101e-11,3.732387845776233e-11
9,2.813234508518968e-11,5.301865035285748e-11,4.1358892345087984e-11,2.2192576380291114e-11
10,1.0820132725072954e-11,2.164026545014591e-11,1.41225486056398e-11,3.026260415494243e-11
11,3.4624424720233456e-11,5.410066362536477e-12,4.741141317607647e-11,5.1446427063402133e-11
12,4.544455744530641e-11,6.383878307793044e-11,1.815756249296546e-11,5.0437673591570716e-11
13,5.5182676897872066e-11,1.7312212360116728e-11,3.9341385401425156e-11,2.622759026761677e-11
14,0.0,1.8394225632624023e-11,0.0,2.0175069436628286e-12
15,5.5182676897872066e-11,5.842871671539396e-11,5.850770136622203e-11,2.421008332395394e-11
16,2.5968318540175093e-11,2.2722278722653204e-11,2.0175069436628283e-11,5.548144095072779e-11
17,3.787046453775534e-11,4.652657071781371e-11,4.94289201197393e-11,2.11838229084597e-11
18,9.73811945256566e-12,0.0,2.0175069436628283e-11,2.5218836795785358e-11
19,5.842871671539396e-11,3.137838490271157e-11,3.732387845776233e-11,2.421008332395394e-11
20,3.895247781026264e-11,8.547904852807635e-11,4.842016664790788e-11,5.447268747889637e-11
21,7.574092907551069e-12,2.3804291995160503e-11,2.0175069436628283e-11,2.82450972112796e-11
22,3.2460398175218865e-11,0.0,2.622759026761677e-11,4.539390623241364e-11
23,3.0296371630204274e-11,3.895247781026264e-11,5.64901944225592e-11,1.1096288190145557e-11
24,3.4624424720233456e-11,8.872508834559823e-11,1.3113795133808384e-11,7.666526385918748e-11
25,5.7346703442886657e-11,0.0,2.82450972112796e-11,0.0
26,2.4886305267667798e-11,3.787046453775534e-11,4.539390623241364e-11,3.732387845776233e-11
27,1.5148185815102137e-11,1.2984159270087547e-11,3.127135762677385e-11,2.0175069436628283e-11
28,4.219851762778452e-11,6.167475653291585e-11,3.127135762677385e-11,6.758648261270476e-11
29,2.813234508518968e-11,4.9772610535335596e-11,6.25427152535477e-11,0.0
30,4.111650435527723e-11,1.8394225632624023e-11,1.815756249296546e-11,6.153396178171627e-11
31,5.626469017037936e-11,3.895247781026264e-11,5.7498947894390616e-11,2.3201329852122528e-11
32,4.328053090029182e-12,3.787046453775534e-11,2.11838229084597e-11,6.052520830988486e-11
33,6.383878307793044e-11,1.6230199087609433e-11,4.438515276058223e-11,1.7148809021134042e-11
34,3.787046453775534e-11,4.328053090029182e-11,2.3201329852122528e-11,7.868277080285031e-11
35,4.544455744530641e-11,3.570643799274075e-11,2.421008332395394e-11,0.0
36,0.0,2.813234508518968e-11,9.07878124648273e-12,1.815756249296546e-11
37,5.951072998790126e-11,0.0,6.355146872537909e-11,4.842016664790788e-11
38,7.574092907551069e-12,7.790495562052527e-11,2.5218836795785358e-11,2.925385068311101e-11
39,4.003449108276993e-11,1.947623890513132e-11,1.5131302077471215e-11,5.447268747889637e-11
40,3.0296371630204274e-11,7.574092907551068e-11,3.631512498593092e-11,0.0
41,2.4886305267667798e-11,0.0,3.9341385401425156e-11,5.447268747889637e-11
42,5.410066362536477e-11,3.137838490271157e-11,0.0,3.833263192959374e-11
43,1.8394225632624023e-11,2.7050331812682385e-11,5.245518053523354e-11,1.0087534718314142e-11
44,3.2460398175218867e-12,4.7608583990321006e-11,6.052520830988486e-11,4.94289201197393e-11
45,8.006898216553986e-11,1.7312212360116728e-11,1.5131302077471215e-11,1.916631596479687e-11
46,1.7312212360116728e-11,2.813234508518968e-11,5.951645483805344e-11,4.1358892345087984e-11
47,4.436254417279911e-11,2.813234508518968e-11,2.2192576380291114e-11,3.228011109860526e-11
48,2.2722278722653204e-11,4.219851762778452e-11,1.0087534718314142e-11,2.7236343739448186e-11
49,7.682294234801797e-11,3.570643799274075e-11,6.556897566904192e-11,9.07878124648273e-12
50,1.0820132725072954e-11,3.2460398175218865e-11,0.0,7.868277080285031e-11
51,1.5148185815102137e-11,6.275676980542314e-11,6.456022219721051e-11,3.4297618042268085e-11
52,2.921435835769698e-11,3.137838490271157e-11,1.3113795133808384e-11,3.833263192959374e-11
53,5.842871671539396e-11,4.111650435527723e-11,4.94289201197393e-11,0.0
54,1.7312212360116728e-11,2.164026545014591e-11,4.035013887325657e-12,6.758648261270476e-11
55,6.492079635043773e-11,5.410066362536477e-12,3.228011109860526e-11,0.0
56,2.5968318540175093e-11,6.708482289545232e-11,4.842016664790788e-11,5.7498947894390616e-11
57,3.137838490271157e-11,4.86905972628283e-11,1.7148809021134042e-11,1.3113795133808384e-11
58,5.410066362536477e-12,3.895247781026264e-11,3.228011109860526e-11,4.23676458169194e-11
59,7.14128759854815e-11,0.0,5.7498947894390616e-11,1.7148809021134042e-11
60,0.0,5.085462380784289e-11,4.337639928875082e-11,6.657772914087334e-11
61,5.7346703442886657e-11,2.813234508518968e-11,5.1446427063402133e-11,3.0262604154942427e-12
62,0.0,0.0,1.815756249296546e-11,4.539390623241364e-11
63,4.003449108276993e-11,5.626469017037936e-11,5.1446427063402133e-11,4.438515276058223e-11
64,2.5968318540175093e-11,3.570643799274075e-11,1.7148809021134042e-11,7.0612743028199e-12
65,5.626469017037936e-11,3.0296371630204274e-11,3.026260415494243e-11,3.4297618042268085e-11
66,3.570643799274075e-11,6.492079635043773e-11,4.1358892345087984e-11,6.758648261270476e-11
67,3.6788451265248046e-11,2.164026545014591e-12,4.539390623241364e-11,6.052520830988485e-12
68,2.164026545014591e-12,4.652657071781371e-11,2.3201329852122528e-11,6.657772914087334e-11
69,8.656106180058364e-11,1.406617254259484e-11,3.833263192959374e-11,6.052520830988485e-12
70,0.0,2.164026545014591e-11,2.11838229084597e-11,2.925385068311101e-11
71,4.652657071781371e-11,2.7050331812682385e-11,7.464775691552466e-11,8.070027774651314e-12
72,9.73811945256566e-12,5.1936637080350187e-11,0.0,6.657772914087334e-11
73,5.085462380784289e-11,4.544455744530641e-11,3.127135762677385e-11,2.3201329852122528e-11
74,7.574092907551069e-12,2.0558252177638614e-11,1.7148809021134042e-11,5.64901944225592e-11
75,6.383878307793044e-11,4.7608583990321006e-11,5.1446427063402133e-11,3.53063715140995e-11
76,2.0558252177638614e-11,3.0296371630204274e-11,1.7148809021134042e-11,1.210504166197697e-11
77,4.7608583990321006e-11,3.354241144772616e-11,6.25427152535477e-11,0.0
78,2.164026545014591e-11,5.301865035285748e-11,5.043767359157071e-12,6.960398955636758e-11
79,3.787046453775534e-11,0.0,4.94289201197393e-11,1.41225486056398e-11
80,8.656106180058364e-12,4.544455744530641e-11,2.0175069436628283e-11,3.4297618042268085e-11
81,7.790495562052527e-11,4.544455744530641e-11,2.2192576380291114e-11,2.3201329852122528e-11
82,6.492079635043773e-12,3.2460398175218867e-12,4.94289201197393e-11,6.25427152535477e-11
83,7.03308627129742e-11,3.895247781026264e-11,3.328886457043667e-11,1.1096288190145557e-11
84,3.787046453775534e-11,3.4624424720233456e-11,2.7236343739448186e-11,6.052520830988486e-11
85,8.656106180058364e-12,2.5968318540175093e-11,3.833263192959374e-11,3.228011109860526e-11
86,0.0,4.219851762778452e-11,1.41225486056398e-11,2.421008332395394e-11
87,7.249488925798879e-11,4.219851762778452e-11,4.94289201197393e-11,2.925385068311101e-11
88,1.406617254259484e-11,0.0,4.0350138873256567e-11,4.539390623241364e-11
89,6.600280962294502e-11,2.164026545014591e-11,2.0175069436628283e-11,7.0612743028199e-12
90,0.0,6.924884944046691e-11,3.4297618042268085e-11,5.64901944225592e-11
91,3.137838490271157e-11,3.6788451265248046e-11,4.94289201197393e-11,2.7236343739448186e-11
92,4.328053090029182e-11,2.164026545014591e-11,3.328886457043667e-11,4.842016664790788e-11
93,3.570643799274075e-11,1.7312212360116728e-11,7.0612743028199e-12,0.0
94,2.2722278722653204e-11,2.2722278722653204e-11,2.82450972112796e-11,5.951645483805344e-11
95,9.521716798064201e-11,9.62991812531493e-11,5.850770136622203e-11,5.951645483805344e-11
96,0.0,3.4624424720233456e-11,3.127135762677385e-11,3.4297618042268085e-11
97,3.4624424720233456e-11,4.436254417279911e-11,2.925385068311101e-11,0.0
98,4.544455744530641e-11,1.8394225632624023e-11,2.421008332395394e-11,4.6402659704245055e-11
99,8.656106180058364e-12,2.164026545014591e-11,5.850770136622203e-11,2.0175069436628283e-11
100,1.0820132725072954e-11,2.921435835769698e-11,1.210504166197697e-11,7.162149650003041e-11
101,6.275676980542314e-11,3.895247781026264e-11,4.337639928875082e-11,8.070027774651314e-12
102,2.3804291995160503e-11,4.219851762778452e-11,2.421008332395394e-11,3.228011109860526e-11
103,5.301865035285748e-11,1.1902145997580251e-11,4.842016664790788e-11,2.622759026761677e-11
104,0.0,4.9772610535335596e-11,4.23676458169194e-11,4.741141317607647e-11
105,8.547904852807635e-11,6.816683616795961e-11,1.210504166197697e-11,3.9341385401425156e-11
106,1.6230199087609433e-11,5.410066362536477e-12,2.622759026761677e-11,1.916631596479687e-11
107,2.5968318540175093e-11,5.301865035285748e-11,6.456022219721051e-11,2.925385068311101e-11
108,6.059274326040855e-11,4.7608583990321006e-11,0.0,4.741141317607647e-11
109,2.3804291995160503e-11,0.0,5.245518053523354e-11,3.732387845776233e-11
110,7.574092907551069e-12,5.085462380784289e-11,1.41225486056398e-11,2.7236343739448186e-11
111,4.544455744530641e-11,2.164026545014591e-11,6.355146872537909e-11,3.4297618042268085e-11
112,1.6230199087609433e-11,5.5182676897872066e-11,2.3201329852122528e-11,5.951645483805344e-11
113,5.1936637080350187e-11,6.492079635043773e-12,2.5218836795785358e-11,1.0087534718314142e-11
114,2.921435835769698e-11,3.895247781026264e-11,2.7236343739448186e-11,1.815756249296546e-11
115,2.921435835769698e-11,1.7312212360116728e-11,6.052520830988486e-11,3.4297618042268085e-11
116,1.7312212360116728e-11,6.924884944046691e-11,0.0,4.438515276058223e-11
117,4.328053090029182e-11,1.406617254259484e-11,8.271778469017597e-11,3.127135762677385e-11
118,3.2460398175218865e-11,6.383878307793044e-11,0.0,4.539390623241364e-11
119,2.164026545014591e-11,1.947623890513132e-11,6.758648261270476e-11,2.925385068311101e-11
120,3.4624424720233456e-11,1.947623890513132e-11,6.052520830988485e-12,3.631512498593092e-11
121,5.5182676897872066e-11,9.73811945256566e-12,9.07878124648273e-12,1.210504166197697e-11
122,1.7312212360116728e-11,7.898696889303256e-11,5.3463934007064954e-11,6.960398955636758e-11
123,4.219851762778452e-11,7.574092907551069e-12,4.842016664790788e-11,2.0175069436628286e-12
124,1.947623890513132e-11,8.223300871055445e-11,3.228011109860526e-11,3.328886457043667e-11
125,6.492079635043773e-11,0.0,6.052520830988486e-11,4.0350138873256567e-11
126,1.0820132725072954e-11,3.137838490271157e-11,4.0350138873256567e-11,2.421008332395394e-11
127,1.179394467032952e-10,5.1936637080350187e-11,1.1197163537328699e-10,3.732387845776233e-11
