Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,1.8722076417355378e-11,4.524501800860882e-11,2.7688908072752047e-11,0.0
2,7.800865173898074e-12,5.1485710147727284e-11,3.845681676771118e-11,2.6150635402043598e-11
3,4.524501800860882e-11,2.1842422486914605e-11,1.3844454036376023e-11,7.383708819400547e-11
4,2.340259552169422e-11,4.056449890426998e-11,9.229636024250683e-12,2.7688908072752047e-11
5,6.240692139118459e-11,1.2481384278236918e-11,8.306672421825614e-11,2.7688908072752047e-11
6,7.800865173898074e-12,6.396709442596421e-11,7.691363353542236e-12,3.230372608487739e-11
7,5.928657532162535e-11,0.0,4.460990745054497e-11,3.230372608487739e-11
8,2.4962768556473836e-11,2.4962768556473836e-11,5.999263415762944e-11,2.3074090060626707e-11
9,2.652294159125345e-11,6.864761353030305e-11,4.460990745054497e-11,5.6916088816212546e-11
10,0.0,3.2763633730371906e-11,1.3844454036376023e-11,2.7688908072752047e-11
11,8.112899780853996e-11,3.588397979993114e-11,1.2306181365667578e-11,0.0
12,0.0,4.524501800860882e-11,4.6148180121253414e-11,5.6916088816212546e-11
13,4.680519104338844e-11,6.240692139118459e-12,3.9995089438419625e-11,2.922718074346049e-11
14,0.0,4.524501800860882e-11,1.8459272048501367e-11,2.922718074346049e-11
15,5.616622925206612e-11,1.2481384278236918e-11,5.2301270804087196e-11,2.7688908072752047e-11
16,9.361038208677689e-12,4.368484497382921e-11,0.0,5.076299813337876e-11
17,6.084674835640497e-11,5.1485710147727284e-11,6.306917949904633e-11,2.922718074346049e-11
18,4.368484497382921e-11,1.7161903382575762e-11,4.3071634779836516e-11,1.6920999377792918e-11
19,1.8722076417355378e-11,2.028224945213499e-11,3.230372608487739e-11,2.6150635402043598e-11
20,4.680519104338844e-11,3.588397979993114e-11,3.0765453414168945e-11,1.6920999377792918e-11
21,3.4323806765151525e-11,1.0921211243457303e-11,1.9997544719209812e-11,2.6150635402043598e-11
22,2.340259552169422e-11,6.864761353030305e-11,2.7688908072752047e-11,2.7688908072752047e-11
23,5.1485710147727284e-11,7.800865173898074e-12,3.230372608487739e-11,6.153090682833789e-12
