Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,1.521087543764384e-11,4.157639286289316e-11,3.7535498121731394e-11,0.0
2,9.126525262586305e-12,4.9688859762969876e-11,4.691937265216424e-11,3.232223449371315e-11
3,4.157639286289316e-11,3.042175087528768e-11,2.8151623591298546e-11,6.568712171302994e-11
4,1.9267108887682198e-11,3.549204268783562e-11,1.4597138158451098e-11,2.8151623591298546e-11
5,5.171697648798905e-11,1.4196817075134251e-11,5.0047330828975195e-11,3.023692904250585e-11
6,1.2168700350115073e-11,7.098408537567124e-11,1.0426527256036499e-11,5.0047330828975195e-11
7,7.605437718821921e-11,0.0,3.023692904250585e-11,2.9194276316902196e-11
8,2.5351459062739734e-11,2.3323342337720554e-11,7.924160714587739e-11,3.7535498121731394e-11
9,2.3323342337720554e-11,6.591379356312331e-11,4.7962025377767894e-11,6.46444689874263e-11
10,0.0,4.2590451225402756e-11,1.7725096335262047e-11,3.023692904250585e-11
11,9.126525262586303e-11,3.042175087528768e-11,9.383874530432849e-12,0.0
12,0.0,4.157639286289316e-11,3.440753994492045e-11,4.58767199265606e-11
13,4.360450958791234e-11,8.112466900076715e-12,7.090038534104819e-11,2.8151623591298546e-11
14,0.0,5.6787268300537003e-11,2.9194276316902196e-11,3.232223449371315e-11
15,5.780132666304659e-11,1.3182758712624661e-11,4.58767199265606e-11,2.9194276316902196e-11
16,6.0843501750575364e-12,5.780132666304659e-11,0.0,5.2132636280182496e-11
17,7.301220210069044e-11,3.549204268783562e-11,6.985773261544454e-11,5.2132636280182496e-11
18,4.76607430379507e-11,1.2168700350115073e-11,4.58767199265606e-11,2.3981012688883947e-11
19,2.5351459062739734e-11,3.650610105034522e-11,3.5450192670524093e-11,3.12795817681095e-11
20,4.2590451225402756e-11,2.6365517425249322e-11,4.58767199265606e-11,2.71089708656949e-11
21,3.447798432532604e-11,5.070291812547947e-12,1.4597138158451098e-11,5.526059445699344e-11
22,1.3182758712624661e-11,7.301220210069044e-11,3.336488721931679e-11,3.9620803572938696e-11
23,4.461856795042193e-11,5.070291812547947e-12,4.1706109024145997e-11,1.4597138158451098e-11
24,5.577320993802741e-11,4.664668467544111e-11,5.2132636280182496e-11,6.151651081061534e-11
25,0.0,2.3323342337720554e-11,2.71089708656949e-11,1.4597138158451098e-11
26,6.489973520061372e-11,3.042175087528768e-11,2.6066318140091248e-11,5.838855263380439e-11
27,0.0,6.388567683810414e-11,1.563979088405475e-11,3.6492845396127744e-11
28,2.0281167250191786e-11,3.650610105034522e-11,1.8767749060865697e-11,4.7962025377767894e-11
29,1.0039177788844935e-10,2.0281167250191786e-11,8.862548167631024e-11,1.7725096335262047e-11
30,1.0140583625095893e-11,2.2309283975210966e-11,5.2132636280182496e-12,3.7535498121731394e-11
31,3.954827613787398e-11,6.895596865065207e-11,8.654017622510294e-11,5.42179417313898e-11
32,4.360450958791234e-11,4.664668467544111e-11,2.71089708656949e-11,4.37914144753533e-11
33,3.244986760030686e-11,2.4337400700230146e-11,2.0853054512072998e-11,0.0
34,2.6365517425249322e-11,5.171697648798905e-11,3.336488721931679e-11,4.37914144753533e-11
35,4.056233450038358e-12,3.650610105034522e-11,5.42179417313898e-11,7.298569079225549e-11
36,8.213872736327673e-11,2.2309283975210966e-11,8.341221804829198e-12,4.483406720095694e-11
37,2.1295225612701378e-11,2.2309283975210966e-11,9.592405075553579e-11,1.7725096335262047e-11
38,2.2309283975210966e-11,2.0281167250191786e-11,2.3981012688883947e-11,2.5023665414487597e-11
39,4.2590451225402756e-11,2.0281167250191786e-11,1.146917998164015e-11,1.8767749060865697e-11
40,2.0281167250191786e-11,7.706843555072879e-11,8.341221804829198e-12,5.42179417313898e-11
41,5.3745093213008236e-11,1.3182758712624661e-11,5.2132636280182496e-11,0.0
42,1.825305052517261e-11,6.692785192563289e-11,8.028425987148104e-11,7.819895442027375e-11
43,5.881538502555619e-11,2.5351459062739734e-11,3.440753994492045e-11,3.440753994492045e-11
44,4.056233450038358e-12,1.0140583625095893e-11,0.0,3.6492845396127744e-11
45,2.5351459062739734e-11,4.461856795042193e-11,7.194303806665184e-11,4.170610902414599e-12
46,7.808249391323838e-11,3.143580923779727e-11,1.0426527256036498e-12,6.88150798898409e-11
47,4.157639286289316e-11,4.2590451225402756e-11,8.445487077389564e-11,1.6682443609658396e-11
48,0.0,3.447798432532604e-11,2.5023665414487597e-11,6.672977443863358e-11
49,4.360450958791234e-11,2.0281167250191786e-11,5.1089983554578845e-11,0.0
50,4.360450958791234e-11,4.664668467544111e-11,2.0853054512072995e-12,7.402834351785914e-11
51,2.6365517425249322e-11,1.0140583625095894e-12,5.42179417313898e-11,3.9620803572938696e-11
52,1.9267108887682198e-11,5.881538502555619e-11,2.29383599632803e-11,2.9194276316902196e-11
53,6.794191028814249e-11,3.7520159412854805e-11,7.298569079225549e-11,0.0
54,1.0140583625095894e-12,3.447798432532604e-11,7.298569079225549e-12,6.672977443863358e-11
55,5.475915157551783e-11,1.521087543764384e-11,1.2511832707243799e-11,0.0
56,2.3323342337720554e-11,5.577320993802741e-11,4.274876174974965e-11,8.75828289507066e-11
57,4.2590451225402756e-11,2.0281167250191786e-11,6.777242716423724e-11,3.12795817681095e-11
58,3.143580923779727e-11,4.360450958791234e-11,2.0853054512072998e-11,5.1089983554578845e-11
59,3.447798432532604e-11,3.0421750875287682e-12,1.2511832707243799e-11,5.0047330828975195e-11
60,3.042175087528768e-11,5.6787268300537003e-11,6.151651081061534e-11,0.0
61,2.940769251277809e-11,1.9267108887682198e-11,2.3981012688883947e-11,2.0853054512072995e-12
62,2.5351459062739734e-11,6.997002701316166e-11,3.9620803572938696e-11,7.819895442027375e-11
63,6.794191028814249e-11,2.1295225612701378e-11,3.7535498121731394e-11,2.29383599632803e-11
64,2.028116725019179e-12,6.185756011308495e-11,1.7725096335262047e-11,7.819895442027375e-11
65,5.2731034850498644e-11,1.4196817075134251e-11,1.0426527256036499e-10,2.71089708656949e-11
66,0.0,2.8393634150268502e-11,0.0,4.7962025377767894e-11
67,4.563262631293152e-11,3.954827613787398e-11,2.0853054512072998e-11,1.9810401786469348e-11
68,5.3745093213008236e-11,2.4337400700230146e-11,8.341221804829198e-12,3.8578150847335045e-11
69,5.982944338806577e-11,6.0843501750575364e-12,6.04738580850117e-11,3.232223449371315e-11
70,0.0,7.909655227574796e-11,5.630324718259709e-11,4.7962025377767894e-11
71,2.6365517425249322e-11,3.3463925962816446e-11,3.232223449371315e-11,8.341221804829198e-12
72,7.0984085375671254e-12,5.070291812547947e-11,5.42179417313898e-11,5.526059445699344e-11
73,6.692785192563289e-11,2.0281167250191786e-11,5.526059445699344e-11,2.8151623591298546e-11
74,3.650610105034522e-11,2.7379575787758914e-11,3.1279581768109497e-12,4.170610902414599e-12
75,3.650610105034522e-11,4.056233450038357e-11,4.9004678103371544e-11,8.54975234994993e-11
76,4.157639286289316e-11,2.0281167250191786e-11,1.6682443609658396e-11,2.29383599632803e-11
77,5.475915157551783e-11,5.780132666304659e-11,6.151651081061534e-11,1.9810401786469348e-11
78,0.0,2.3323342337720554e-11,2.6066318140091248e-11,5.838855263380439e-11
79,1.3182758712624661e-11,0.0,3.5450192670524093e-11,4.37914144753533e-11
80,6.794191028814249e-11,4.461856795042193e-11,5.943120535940804e-11,3.7535498121731394e-11
81,8.112466900076715e-12,1.9267108887682198e-11,4.483406720095694e-11,7.298569079225549e-12
82,4.76607430379507e-11,7.098408537567124e-11,1.0426527256036499e-11,3.440753994492045e-11
83,4.056233450038357e-11,2.8393634150268502e-11,3.7535498121731394e-11,3.440753994492045e-11
84,1.0140583625095893e-11,3.650610105034522e-11,1.563979088405475e-11,4.1706109024145997e-11
85,6.895596865065207e-11,7.0984085375671254e-12,5.838855263380439e-11,1.7725096335262047e-11
86,5.070291812547947e-12,3.447798432532604e-11,0.0,9.592405075553579e-11
87,8.213872736327673e-11,5.982944338806577e-11,7.090038534104819e-11,2.9194276316902196e-11
88,2.7379575787758914e-11,3.3463925962816446e-11,2.0853054512072995e-12,2.8151623591298546e-11
89,2.940769251277809e-11,1.0140583625095894e-12,5.943120535940804e-11,5.0047330828975195e-11
90,2.028116725019179e-12,8.213872736327673e-11,0.0,1.563979088405475e-11
91,5.577320993802741e-11,1.2168700350115073e-11,6.2559163536219e-11,4.37914144753533e-11
92,2.940769251277809e-11,3.650610105034522e-11,4.9004678103371544e-11,6.672977443863358e-11
93,3.650610105034522e-11,2.0281167250191786e-11,4.37914144753533e-11,0.0
94,6.0843501750575364e-12,3.447798432532604e-11,4.7962025377767894e-11,7.298569079225549e-11
95,9.025119426335345e-11,5.982944338806577e-11,5.42179417313898e-11,1.2511832707243799e-11
96,2.2309283975210966e-11,5.881538502555619e-11,4.274876174974965e-11,3.7535498121731394e-11
97,3.244986760030686e-11,1.723899216266302e-11,1.4597138158451098e-11,5.42179417313898e-11
98,1.825305052517261e-11,3.7520159412854805e-11,2.6066318140091248e-11,3.6492845396127744e-11
99,4.867480140046029e-11,2.0281167250191786e-11,7.819895442027375e-11,3.7535498121731394e-11
100,2.5351459062739734e-11,8.112466900076715e-11,2.71089708656949e-11,2.5023665414487597e-11
101,6.489973520061372e-11,0.0,4.7962025377767894e-11,4.274876174974965e-11
102,0.0,4.9688859762969876e-11,1.8767749060865697e-11,4.37914144753533e-11
103,5.577320993802741e-11,1.521087543764384e-11,4.58767199265606e-11,1.8767749060865697e-11
104,0.0,5.171697648798905e-11,0.0,3.336488721931679e-11
105,7.098408537567124e-11,2.7379575787758914e-11,7.507099624346279e-11,3.440753994492045e-11
106,3.244986760030686e-11,2.7379575787758914e-11,3.7535498121731394e-11,8.966813440191388e-11
107,3.447798432532604e-11,0.0,4.37914144753533e-11,0.0
108,1.9267108887682198e-11,4.9688859762969876e-11,0.0,5.317528900578614e-11
109,2.940769251277809e-11,1.723899216266302e-11,6.672977443863358e-11,1.563979088405475e-11
110,3.8534217775364397e-11,5.3745093213008236e-11,1.7725096335262047e-11,5.317528900578614e-11
111,2.3323342337720554e-11,4.360450958791234e-11,8.341221804829198e-12,0.0
112,3.549204268783562e-11,3.8534217775364397e-11,3.12795817681095e-11,5.1089983554578845e-11
113,5.982944338806577e-11,5.070291812547947e-12,8.54975234994993e-11,5.42179417313898e-11
