Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,4.042916882102199e-11,8.293162835081434e-11,6.529044409524194e-11,6.249228220544585e-11
2,3.5245942049096095e-11,5.286891307364414e-11,3.1712501417688937e-11,2.331801574830069e-11
3,5.183226771925896e-11,0.0,4.2905148976873266e-11,2.7981618897960826e-11
4,5.286891307364414e-11,3.213600598594055e-11,1.7721691968708525e-11,4.943419338639746e-11
5,1.6586325670162868e-11,3.939252346663681e-11,4.197242834694124e-11,1.6788971338776497e-11
6,3.00627152771702e-11,3.939252346663681e-11,2.9847060157824886e-11,6.808860598503801e-11
7,5.701549449118486e-11,1.9696261733318406e-11,2.1452574488436633e-11,5.596323779592165e-12
8,0.0,5.286891307364414e-11,5.40977965360576e-11,3.6376104567349076e-11
9,7.256517480696254e-11,2.280619779647394e-11,2.5183457008164744e-11,0.0
10,1.4513034961392509e-11,5.49422037824145e-11,2.7981618897960827e-12,5.969412031564977e-11
11,3.00627152771702e-11,4.4575750238562706e-11,6.808860598503801e-11,2.70488982680288e-11
12,1.7622971024548047e-11,6.116207590872558e-11,2.9847060157824886e-11,4.197242834694124e-11
13,7.671175622450326e-11,2.591613385962948e-11,3.264522204762097e-11,1.3058088819048386e-11
14,4.146581417540717e-11,4.250245952979235e-11,1.4923530078912443e-11,5.782867905578571e-11
15,5.908878519995523e-11,4.353910488417753e-11,4.7568752126533405e-11,8.394485669388248e-12
16,1.347638960700733e-11,4.561239559294788e-11,6.155956157551381e-11,4.663603149660138e-11
17,4.768568630171824e-11,3.7319232757866454e-11,3.917426645714516e-11,3.544338393741705e-11
18,3.00627152771702e-11,4.8722331656103424e-11,3.451066330748502e-11,3.1712501417688937e-11
19,3.00627152771702e-11,2.0732907087703586e-11,3.917426645714516e-11,8.394485669388248e-12
20,3.109936063155538e-11,4.353910488417753e-11,1.2125368189116358e-11,6.155956157551381e-11
21,3.628258740348127e-11,2.9026069922785018e-11,1.7721691968708525e-11,6.529044409524193e-12
22,5.49422037824145e-11,6.738194803503665e-11,2.9847060157824886e-11,5.129963464626151e-11
23,2.384284315085912e-11,1.6586325670162868e-11,4.2905148976873266e-11,0.0
24,5.079562236487378e-11,1.8659616378933227e-11,4.477059023673732e-11,6.342500283537787e-11
25,5.286891307364414e-11,6.219872126311075e-11,2.6116177638096772e-11,5.969412031564977e-11
26,0.0,3.109936063155538e-11,0.0,4.663603149660138e-12
27,7.774840157888844e-11,5.286891307364414e-11,9.327206299320276e-11,7.928125354422234e-11
28,3.5245942049096095e-11,2.9026069922785018e-11,3.1712501417688937e-11,2.6116177638096772e-11
29,5.390555842802932e-11,5.079562236487378e-11,4.2905148976873266e-11,4.7568752126533405e-11
30,0.0,4.768568630171824e-11,1.3058088819048386e-11,1.5856250708844468e-11
31,9.95179540209772e-11,1.6586325670162868e-11,5.40977965360576e-11,3.3577942677552994e-11
32,2.48794885052443e-11,5.597884913679968e-11,4.943419338639746e-11,3.73088251972811e-11
33,6.634530268065147e-11,1.8659616378933227e-11,2.4250736378232715e-11,5.316507590612557e-11
34,2.384284315085912e-11,6.42720119718811e-11,9.327206299320275e-12,3.917426645714516e-11
35,4.146581417540717e-11,1.7622971024548047e-11,5.036691401632949e-11,1.2125368189116358e-11
36,2.695277921401466e-11,4.042916882102199e-11,2.5183457008164744e-11,3.544338393741705e-11
37,7.567511087011808e-11,5.597884913679968e-11,2.9847060157824886e-11,2.7981618897960826e-11
38,1.4513034961392509e-11,7.878504693327362e-11,2.7981618897960826e-11,5.036691401632949e-11
39,4.250245952979235e-11,3.1099360631555375e-12,5.596323779592165e-11,4.663603149660138e-12
40,3.420929669471091e-11,5.701549449118486e-11,1.3990809448980413e-11,7.928125354422234e-11
41,2.591613385962948e-11,1.0366453543851792e-12,6.995404724490206e-11,0.0
42,6.01254305543404e-11,5.701549449118486e-11,5.316507590612557e-11,4.477059023673732e-11
43,2.695277921401466e-11,2.0732907087703586e-11,6.529044409524193e-12,1.6788971338776497e-11
44,7.2565174806962545e-12,6.53086573262663e-11,4.197242834694124e-11,5.2232355276193544e-11
45,4.561239559294788e-11,3.835587811225163e-11,3.3577942677552994e-11,2.9847060157824886e-11
46,3.3172651340325736e-11,6.116207590872558e-11,3.917426645714516e-11,5.5030517165989627e-11
47,3.420929669471091e-11,4.042916882102199e-11,2.1452574488436633e-11,5.40977965360576e-11
48,4.97589770104886e-11,0.0,3.6376104567349076e-11,1.8654412598640554e-12
49,4.561239559294788e-11,3.00627152771702e-11,3.1712501417688937e-11,1.0259926929252304e-11
50,4.146581417540717e-12,7.567511087011808e-11,2.7981618897960827e-12,2.9847060157824886e-11
51,8.811485512274024e-11,4.6649040947333065e-11,4.477059023673732e-11,3.264522204762097e-11
52,3.109936063155538e-11,4.4575750238562706e-11,5.129963464626151e-11,5.2232355276193544e-11
53,6.01254305543404e-11,2.0732907087703585e-12,4.0106987087077184e-11,3.917426645714516e-11
54,1.6586325670162868e-11,6.53086573262663e-11,2.9847060157824886e-11,2.7981618897960826e-11
55,4.768568630171824e-11,1.8659616378933227e-11,3.1712501417688937e-11,6.43577234653099e-11
56,1.9696261733318406e-11,2.1769552442088765e-11,3.544338393741705e-11,2.9847060157824886e-11
57,5.8052139845570036e-11,3.7319232757866454e-11,3.6376104567349076e-11,5.036691401632949e-11
58,3.835587811225163e-11,5.49422037824145e-11,2.331801574830069e-11,2.70488982680288e-11
59,3.109936063155538e-11,2.695277921401466e-11,3.1712501417688937e-11,2.7981618897960826e-11
60,1.9696261733318406e-11,6.116207590872558e-11,3.264522204762097e-11,5.036691401632949e-11
61,7.463846551573291e-11,2.48794885052443e-11,5.5030517165989627e-11,2.7981618897960827e-12
62,1.554968031577769e-11,3.420929669471091e-11,7.461765039456222e-12,4.570331086666935e-11
63,6.116207590872558e-11,8.189498299642915e-11,5.876139968571773e-11,4.197242834694124e-11
64,4.768568630171824e-11,1.0366453543851793e-11,1.2125368189116358e-11,3.264522204762097e-11
65,1.347638960700733e-11,5.8052139845570036e-11,4.850147275646543e-11,2.0519853858504608e-11
66,5.597884913679968e-11,3.7319232757866454e-11,4.0106987087077184e-11,1.958713322857258e-11
67,1.140309889823697e-11,4.146581417540717e-11,3.264522204762097e-11,5.036691401632949e-11
68,7.567511087011808e-11,3.628258740348127e-11,3.730882519728111e-12,4.663603149660138e-11
69,1.554968031577769e-11,5.286891307364414e-11,9.607022488299885e-11,3.544338393741705e-11
70,1.8659616378933227e-11,3.420929669471091e-11,4.0106987087077184e-11,2.70488982680288e-11
71,3.835587811225163e-11,2.1769552442088765e-11,1.119264755918433e-11,1.958713322857258e-11
72,4.250245952979235e-11,3.5245942049096095e-11,3.824154582721313e-11,3.824154582721313e-11
73,3.213600598594055e-11,3.1099360631555375e-12,3.544338393741705e-11,1.8654412598640554e-12
74,1.140309889823697e-11,9.537137260343648e-11,2.0519853858504608e-11,7.275220913469815e-11
75,8.50049190595847e-11,1.347638960700733e-11,4.0106987087077184e-11,0.0
76,3.109936063155538e-11,4.6649040947333065e-11,4.663603149660138e-11,4.570331086666935e-11
77,6.323536661749593e-11,2.280619779647394e-11,1.4923530078912443e-11,2.70488982680288e-11
78,4.146581417540717e-12,6.116207590872558e-11,2.6116177638096772e-11,4.570331086666935e-11
79,1.0366453543851792e-10,1.9696261733318406e-11,4.1039707717009215e-11,5.876139968571773e-11
80,5.1832267719258964e-12,5.079562236487378e-11,1.865441259864055e-11,2.70488982680288e-11
81,5.49422037824145e-11,2.0732907087703585e-12,3.0779780787756905e-11,1.3058088819048386e-11
82,2.591613385962948e-11,7.256517480696254e-11,2.238529511836866e-11,8.674301858367856e-11
83,7.671175622450326e-11,4.146581417540717e-12,8.674301858367856e-11,4.477059023673732e-11
84,0.0,4.146581417540717e-11,8.394485669388248e-12,1.958713322857258e-11
85,4.042916882102199e-11,2.384284315085912e-11,2.70488982680288e-11,7.461765039456222e-12
86,6.219872126311075e-12,8.707820976835506e-11,3.0779780787756905e-11,5.876139968571773e-11
87,7.567511087011808e-11,3.3172651340325736e-11,3.544338393741705e-11,9.327206299320277e-13
88,0.0,6.116207590872558e-11,7.461765039456222e-12,4.197242834694124e-11
89,8.604156441396987e-11,1.140309889823697e-11,7.555037102449423e-11,8.394485669388248e-12
90,1.0366453543851793e-11,3.835587811225163e-11,2.9847060157824886e-11,3.73088251972811e-11
91,8.915150047712541e-11,2.280619779647394e-11,1.0259926929252304e-11,4.7568752126533405e-11
92,0.0,8.189498299642915e-11,4.1039707717009215e-11,3.451066330748502e-11
93,5.701549449118486e-11,1.4513034961392509e-11,4.570331086666935e-11,2.238529511836866e-11
94,0.0,6.53086573262663e-11,3.0779780787756905e-11,5.782867905578571e-11
95,1.0677447150167346e-10,1.243974425262215e-11,9.513750425306681e-11,2.70488982680288e-11
96,1.9696261733318406e-11,1.150676343367549e-10,0.0,4.850147275646543e-11
97,3.7319232757866454e-11,4.146581417540717e-12,6.715588535510599e-11,1.958713322857258e-11
98,3.00627152771702e-11,6.53086573262663e-11,2.5183457008164744e-11,5.2232355276193544e-11
99,4.768568630171824e-11,0.0,2.8914339527892854e-11,1.958713322857258e-11
100,4.042916882102199e-11,7.463846551573291e-11,2.7981618897960826e-11,3.264522204762097e-11
101,4.250245952979235e-11,3.835587811225163e-11,9.327206299320275e-12,3.544338393741705e-11
102,3.628258740348127e-11,4.561239559294788e-11,3.73088251972811e-11,3.451066330748502e-11
103,1.8659616378933227e-11,0.0,5.036691401632949e-11,1.8654412598640554e-12
104,4.250245952979235e-11,7.774840157888844e-11,2.6116177638096772e-11,3.3577942677552994e-11
105,8.293162835081434e-11,8.293162835081434e-12,4.2905148976873266e-11,2.9847060157824886e-11
106,1.0366453543851792e-12,1.4513034961392509e-11,1.958713322857258e-11,4.7568752126533405e-11
107,9.226143654028095e-11,4.4575750238562706e-11,4.850147275646543e-11,7.461765039456222e-12
108,3.1099360631555375e-12,5.390555842802932e-11,0.0,8.76757392136106e-11
109,4.6649040947333065e-11,5.49422037824145e-11,5.5030517165989627e-11,4.663603149660138e-11
